epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,84.1416,0.62053,0.88742,1,0.29142,0.00041675,0.00041675,0.00041675
2,168.193,0.4907,0.86755,1,0.35315,0.000847364,0.000847364,0.000847364
3,252.173,0.51736,0.82781,1,0.50374,0.00127512,0.00127512,0.00127512
4,336.207,0.52178,0.86755,1,3.92969,0.0016505,0.0016505,0.0016505
5,420.277,0.56874,0.50331,1,0.88932,0.001645,0.001645,0.001645
6,504.429,0.49169,0.70199,1,0.67122,0.00163949,0.00163949,0.00163949
7,588.485,0.50976,0.70199,1,0.55485,0.00163399,0.00163399,0.00163399
8,672.658,0.50151,0.87417,1,0.41756,0.00162849,0.00162849,0.00162849
9,757.014,0.46819,0.64238,1,0.59733,0.00162299,0.00162299,0.00162299
10,842.055,0.40511,0.78146,1,0.67367,0.00161749,0.00161749,0.00161749
11,927.222,0.45288,0.88079,1,0.74146,0.00161199,0.00161199,0.00161199
12,1011.87,0.44,0.81457,1,0.3728,0.00160649,0.00160649,0.00160649
13,1096.14,0.42493,0.88079,1,0.32511,0.00160099,0.00160099,0.00160099
14,1180.67,0.3858,0.87417,1,0.3468,0.00159549,0.00159549,0.00159549
15,1265.76,0.39081,0.8543,1,0.29956,0.00158998,0.00158998,0.00158998
16,1351.04,0.39934,0.88079,1,0.2863,0.00158448,0.00158448,0.00158448
17,1436.29,0.38695,0.86755,1,0.56657,0.00157898,0.00157898,0.00157898
18,1521.45,0.43094,0.49669,1,nan,0.00157348,0.00157348,0.00157348
19,1606.68,0.41271,0.74172,1,0.55827,0.00156798,0.00156798,0.00156798
20,1692.09,0.41672,0.86755,1,0.36723,0.00156248,0.00156248,0.00156248
21,1776.66,0.39314,0.86093,1,0.46541,0.00155698,0.00155698,0.00155698
22,1861.19,0.35376,0.86755,1,0.35254,0.00155148,0.00155148,0.00155148
23,1945.62,0.40453,0.82781,1,0.34676,0.00154598,0.00154598,0.00154598
24,2029.94,0.38149,0.90066,1,0.37716,0.00154047,0.00154047,0.00154047
25,2114.46,0.3664,0.78146,1,0.52653,0.00153497,0.00153497,0.00153497
26,2198.83,0.35201,0.88079,1,0.35628,0.00152947,0.00152947,0.00152947
27,2283.36,0.37217,0.87417,1,0.30155,0.00152397,0.00152397,0.00152397
28,2367.53,0.38023,0.88742,1,0.30452,0.00151847,0.00151847,0.00151847
29,2452.3,0.33354,0.87417,1,0.42314,0.00151297,0.00151297,0.00151297
30,2537.15,0.35889,0.86093,1,0.32581,0.00150747,0.00150747,0.00150747
31,2621.6,0.38121,0.7947,1,0.38949,0.00150197,0.00150197,0.00150197
32,2706.8,0.37161,0.87417,1,0.27991,0.00149647,0.00149647,0.00149647
33,2792.53,0.32456,0.88742,1,0.36491,0.00149096,0.00149096,0.00149096
34,2876.89,0.33829,0.84768,1,0.323,0.00148546,0.00148546,0.00148546
35,2961.37,0.34072,0.87417,1,0.38558,0.00147996,0.00147996,0.00147996
36,3045.6,0.36276,0.86093,1,0.38265,0.00147446,0.00147446,0.00147446
37,3129.9,0.36144,0.76821,1,0.56852,0.00146896,0.00146896,0.00146896
38,3214.21,0.34311,0.78808,1,0.37874,0.00146346,0.00146346,0.00146346
39,3298.57,0.33179,0.72848,1,0.54761,0.00145796,0.00145796,0.00145796
40,3383.94,0.35746,0.87417,1,0.36344,0.00145246,0.00145246,0.00145246
41,3469.13,0.30606,0.88079,1,0.65934,0.00144696,0.00144696,0.00144696
42,3554.31,0.32635,0.88742,1,0.39746,0.00144145,0.00144145,0.00144145
43,3639.48,0.36498,0.86755,1,0.28215,0.00143595,0.00143595,0.00143595
44,3724.93,0.31194,0.88742,1,0.56665,0.00143045,0.00143045,0.00143045
45,3809.94,0.32483,0.88079,1,0.35465,0.00142495,0.00142495,0.00142495
46,3895,0.34189,0.88079,1,0.37809,0.00141945,0.00141945,0.00141945
47,3980.1,0.30259,0.88079,1,0.28805,0.00141395,0.00141395,0.00141395
48,4064.37,0.33203,0.78808,1,0.48421,0.00140845,0.00140845,0.00140845
49,4148.57,0.28493,0.86755,1,0.28495,0.00140295,0.00140295,0.00140295
