epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,86.3849,0.5782,0.87417,1,0.33855,0.000544771,0.000544771,0.000544771
2,164.844,0.51614,0.86755,1,0.52441,0.00109681,0.00109681,0.00109681
3,241.251,0.5544,0.84768,1,0.52705,0.00164517,0.00164517,0.00164517
4,318.559,0.54494,0.84106,1,0.57598,0.0016505,0.0016505,0.0016505
5,395.787,0.54097,0.81457,1,0.46572,0.001645,0.001645,0.001645
6,472.77,0.47971,0.82119,1,0.41377,0.00163949,0.00163949,0.00163949
7,550.575,0.48193,0.87417,1,0.37729,0.00163399,0.00163399,0.00163399
8,627.374,0.41417,0.84106,1,0.44658,0.00162849,0.00162849,0.00162849
9,703.377,0.42437,0.86755,1,0.59775,0.00162299,0.00162299,0.00162299
10,779.29,0.44282,0.86755,1,0.3103,0.00161749,0.00161749,0.00161749
11,855.61,0.41901,0.78808,1,0.40576,0.00161199,0.00161199,0.00161199
12,931.74,0.52158,0.8543,1,0.42979,0.00160649,0.00160649,0.00160649
13,1007.78,0.49644,0.86093,1,0.69932,0.00160099,0.00160099,0.00160099
14,1083.77,0.48083,0.86755,1,0.41335,0.00159549,0.00159549,0.00159549
15,1158.82,0.5032,0.86755,1,0.3707,0.00158998,0.00158998,0.00158998
16,1233.86,0.47515,0.8543,1,0.37119,0.00158448,0.00158448,0.00158448
17,1309.23,0.44869,0.84768,1,0.62512,0.00157898,0.00157898,0.00157898
18,1384.87,0.47944,0.87417,1,0.36218,0.00157348,0.00157348,0.00157348
19,1460.52,0.43861,0.84106,1,0.39375,0.00156798,0.00156798,0.00156798
20,1536.14,0.4839,0.82781,1,0.3856,0.00156248,0.00156248,0.00156248
21,1611.63,0.44347,0.83444,1,0.34653,0.00155698,0.00155698,0.00155698
22,1687.16,0.40941,0.8543,1,0.36409,0.00155148,0.00155148,0.00155148
23,1763.4,0.40801,0.86755,1,0.43003,0.00154598,0.00154598,0.00154598
24,1839.06,0.396,0.86093,1,0.41165,0.00154047,0.00154047,0.00154047
25,1914.63,0.42594,0.82781,1,0.37598,0.00153497,0.00153497,0.00153497
26,1990.12,0.40605,0.88742,1,0.4311,0.00152947,0.00152947,0.00152947
27,2065.8,0.44604,0.8543,1,0.36943,0.00152397,0.00152397,0.00152397
28,2141.34,0.41741,0.80795,1,1.5459,0.00151847,0.00151847,0.00151847
29,2216.89,0.43834,0.86093,1,0.47043,0.00151297,0.00151297,0.00151297
30,2292.6,0.42737,0.80795,1,0.398,0.00150747,0.00150747,0.00150747
31,2367.99,0.39659,0.86093,1,0.56411,0.00150197,0.00150197,0.00150197
32,2443.48,0.42564,0.87417,1,0.35164,0.00149647,0.00149647,0.00149647
