epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,74.6465,0.62053,0.88742,1,0.29142,0.00041675,0.00041675,0.00041675
2,143.244,0.48761,0.86755,1,0.69442,0.000841753,0.000841753,0.000841753
3,220.651,0.48587,0.80132,1,1.1193,0.00125817,0.00125817,0.00125817
4,297.152,0.48126,0.86093,1,0.55103,0.00161749,0.00161749,0.00161749
5,373.492,0.55018,0.86755,1,0.69743,0.00160099,0.00160099,0.00160099
6,449.926,0.54025,0.84106,1,nan,0.00158448,0.00158448,0.00158448
7,527.178,0.53162,0.86755,1,0.44499,0.00156798,0.00156798,0.00156798
8,604.244,0.55265,0.70199,1,0.61182,0.00155148,0.00155148,0.00155148
9,681.087,0.52849,0.86755,1,0.41748,0.00153497,0.00153497,0.00153497
10,758.823,0.51987,0.86755,1,0.4117,0.00151847,0.00151847,0.00151847
11,834.592,0.514,0.86755,1,0.41439,0.00150197,0.00150197,0.00150197
12,912.255,0.51588,0.82119,1,0.43058,0.00148546,0.00148546,0.00148546
13,988.528,0.48728,0.84106,1,0.44946,0.00146896,0.00146896,0.00146896
14,1064.66,0.50956,0.77483,1,0.51237,0.00145246,0.00145246,0.00145246
15,1141.46,0.46622,0.82781,1,0.39062,0.00143595,0.00143595,0.00143595
16,1217.45,0.51492,0.78808,1,0.48551,0.00141945,0.00141945,0.00141945
17,1292.84,0.4867,0.8543,1,0.52539,0.00140295,0.00140295,0.00140295
18,1370.44,0.46711,0.81457,1,0.40885,0.00138644,0.00138644,0.00138644
19,1446.42,0.47698,0.86755,1,0.53979,0.00136994,0.00136994,0.00136994
20,1524.14,0.46655,0.86755,1,0.40926,0.00135344,0.00135344,0.00135344
21,1599.84,0.41245,0.86093,1,0.43091,0.00133693,0.00133693,0.00133693
22,1676.59,0.41607,0.84106,1,0.35718,0.00132043,0.00132043,0.00132043
23,1754.13,0.43793,0.86755,1,0.39856,0.00130393,0.00130393,0.00130393
24,1830.5,0.43611,0.80795,1,0.42765,0.00128742,0.00128742,0.00128742
25,1908.38,0.46019,0.86755,1,0.42969,0.00127092,0.00127092,0.00127092
26,1984.15,0.47722,0.77483,1,0.51107,0.00125442,0.00125442,0.00125442
27,2062.1,0.45511,0.7947,1,0.48063,0.00123791,0.00123791,0.00123791
28,2140.01,0.48624,0.86093,1,0.39494,0.00122141,0.00122141,0.00122141
29,2217.19,0.45638,0.83444,1,0.40983,0.00120491,0.00120491,0.00120491
30,2295.38,0.4559,0.82119,1,0.42139,0.0011884,0.0011884,0.0011884
31,2371.94,0.44882,0.81457,1,0.47152,0.0011719,0.0011719,0.0011719
32,2449.69,0.42626,0.86093,1,0.36698,0.0011554,0.0011554,0.0011554
33,2528.25,0.44273,0.86755,1,0.34257,0.00113889,0.00113889,0.00113889
34,2605.29,0.41779,0.84768,1,0.34497,0.00112239,0.00112239,0.00112239
35,2682.4,0.41451,0.86093,1,0.50903,0.00110589,0.00110589,0.00110589
36,2757.72,0.38983,0.87417,1,0.39738,0.00108938,0.00108938,0.00108938
37,2834.79,0.41943,0.88742,1,0.31034,0.00107288,0.00107288,0.00107288
38,2911.21,0.37249,0.84768,1,0.5144,0.00105638,0.00105638,0.00105638
39,2988.34,0.42563,0.88742,1,0.30221,0.00103987,0.00103987,0.00103987
40,3066.05,0.4067,0.87417,1,0.53263,0.00102337,0.00102337,0.00102337
41,3143.39,0.36988,0.76821,1,0.44922,0.00100687,0.00100687,0.00100687
42,3221.08,0.36294,0.82781,1,0.3737,0.000990365,0.000990365,0.000990365
43,3297.82,0.36936,0.87417,1,0.39168,0.000973861,0.000973861,0.000973861
44,3374.86,0.33608,0.82119,1,0.46403,0.000957358,0.000957358,0.000957358
45,3451.91,0.38207,0.82119,1,0.42887,0.000940855,0.000940855,0.000940855
46,3528.01,0.35286,0.88079,1,0.35099,0.000924352,0.000924352,0.000924352
47,3605.57,0.34647,0.8543,1,0.33386,0.000907848,0.000907848,0.000907848
48,3682.3,0.368,0.87417,1,0.32926,0.000891345,0.000891345,0.000891345
49,3758.82,0.33796,0.88742,1,0.32747,0.000874842,0.000874842,0.000874842
50,3834.81,0.34786,0.84768,1,0.40438,0.000858338,0.000858338,0.000858338
51,3911.07,0.35341,0.86755,1,0.41992,0.000841835,0.000841835,0.000841835
52,3987.47,0.33936,0.88079,1,0.40723,0.000825332,0.000825332,0.000825332
53,4064.53,0.31226,0.86093,1,0.36271,0.000808828,0.000808828,0.000808828
54,4141.15,0.30851,0.87417,1,0.36833,0.000792325,0.000792325,0.000792325
55,4216.13,0.29287,0.86755,1,0.37101,0.000775822,0.000775822,0.000775822
