epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,69.2992,0.5782,0.87417,1,0.33855,0.000544771,0.000544771,0.000544771
2,147.449,0.51562,0.86755,1,0.54634,0.00108954,0.00108954,0.00108954
3,226.068,0.53042,0.84768,1,0.98667,0.00162331,0.00162331,0.00162331
4,304.831,0.54394,0.86093,1,0.38423,0.00161749,0.00161749,0.00161749
5,383.632,0.53956,0.80795,1,0.4311,0.00160099,0.00160099,0.00160099
6,462.098,0.48728,0.87417,1,0.31836,0.00158448,0.00158448,0.00158448
7,539.749,0.48232,0.80132,1,0.40791,0.00156798,0.00156798,0.00156798
8,618.141,0.45509,0.65563,1,0.77354,0.00155148,0.00155148,0.00155148
9,696.457,0.51652,0.87417,1,0.36538,0.00153497,0.00153497,0.00153497
10,774.583,0.46227,0.86093,1,0.34385,0.00151847,0.00151847,0.00151847
11,853.124,0.45055,0.84106,1,0.36792,0.00150197,0.00150197,0.00150197
12,931.677,0.46775,0.76821,1,0.47754,0.00148546,0.00148546,0.00148546
13,1010.14,0.46759,0.86755,1,0.50168,0.00146896,0.00146896,0.00146896
14,1088.53,0.43275,0.86093,1,0.35322,0.00145246,0.00145246,0.00145246
15,1166.98,0.44973,0.78146,1,0.51929,0.00143595,0.00143595,0.00143595
16,1244.71,0.4152,0.87417,1,0.40283,0.00141945,0.00141945,0.00141945
17,1322.1,0.42719,0.86755,1,0.39785,0.00140295,0.00140295,0.00140295
18,1400.44,0.38125,0.86093,1,0.3406,0.00138644,0.00138644,0.00138644
19,1478.84,0.38143,0.89404,1,0.36445,0.00136994,0.00136994,0.00136994
20,1557.33,0.44733,0.81457,1,0.43999,0.00135344,0.00135344,0.00135344
21,1635.76,0.42615,0.87417,1,0.33253,0.00133693,0.00133693,0.00133693
22,1714.27,0.3724,0.87417,1,0.35282,0.00132043,0.00132043,0.00132043
23,1792.62,0.38273,0.88079,1,0.32917,0.00130393,0.00130393,0.00130393
24,1871.12,0.3292,0.86093,1,0.3697,0.00128742,0.00128742,0.00128742
25,1949.73,0.37859,0.90066,1,0.31277,0.00127092,0.00127092,0.00127092
26,2028.49,0.36321,0.89404,1,0.34581,0.00125442,0.00125442,0.00125442
27,2106.8,0.38759,0.88742,1,0.41565,0.00123791,0.00123791,0.00123791
28,2185.27,0.3833,0.86093,1,0.31636,0.00122141,0.00122141,0.00122141
29,2264.08,0.36968,0.89404,1,0.31903,0.00120491,0.00120491,0.00120491
30,2342.21,0.33556,0.82781,1,0.35981,0.0011884,0.0011884,0.0011884
31,2419.18,0.36174,0.88079,1,0.29929,0.0011719,0.0011719,0.0011719
32,2496.17,0.37367,0.89404,1,0.28062,0.0011554,0.0011554,0.0011554
33,2573.47,0.30157,0.90066,1,0.33828,0.00113889,0.00113889,0.00113889
34,2651.23,0.33894,0.90066,1,0.33657,0.00112239,0.00112239,0.00112239
35,2729.64,0.30094,0.90728,1,0.32073,0.00110589,0.00110589,0.00110589
