epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.8217,0.58796,0.83444,1,0.32837,0.00041675,0.00041675,0.00041675
2,155.247,0.4273,0.86093,1,0.39449,0.000845962,0.000845962,0.000845962
3,233.744,0.37274,0.86755,1,0.43408,0.00127088,0.00127088,0.00127088
4,312.108,0.38812,0.87417,1,0.42285,0.00164225,0.00164225,0.00164225
5,390.592,0.34498,0.88079,1,0.62052,0.00163399,0.00163399,0.00163399
6,469.035,0.28182,0.80132,1,0.50448,0.00162574,0.00162574,0.00162574
7,547.334,0.28947,0.76159,1,0.57454,0.00161749,0.00161749,0.00161749
8,625.939,0.2232,0.89404,1,0.36603,0.00160924,0.00160924,0.00160924
9,705.028,0.24268,0.74834,1,0.63298,0.00160099,0.00160099,0.00160099
10,784.183,0.24825,0.83444,1,0.45312,0.00159274,0.00159274,0.00159274
11,863.645,0.2457,0.88079,1,0.50989,0.00158448,0.00158448,0.00158448
12,943.029,0.21616,0.88742,1,0.37846,0.00157623,0.00157623,0.00157623
13,1022.42,0.22394,0.8543,1,0.40487,0.00156798,0.00156798,0.00156798
14,1101.95,0.22119,0.88079,1,0.46541,0.00155973,0.00155973,0.00155973
15,1181.24,0.20283,0.88079,1,0.32475,0.00155148,0.00155148,0.00155148
16,1260.66,0.23569,0.89404,1,0.43811,0.00154323,0.00154323,0.00154323
17,1340.03,0.15409,0.88079,1,0.72135,0.00153497,0.00153497,0.00153497
18,1418.69,0.18763,0.84768,1,0.39119,0.00152672,0.00152672,0.00152672
19,1497.03,0.17874,0.84106,1,0.39079,0.00151847,0.00151847,0.00151847
20,1576.92,0.17053,0.89404,1,0.35665,0.00151022,0.00151022,0.00151022
21,1656.6,0.16682,0.90728,1,0.559,0.00150197,0.00150197,0.00150197
22,1736.33,0.15238,0.84768,1,0.52856,0.00149372,0.00149372,0.00149372
23,1816.26,0.14519,0.86755,1,0.53182,0.00148546,0.00148546,0.00148546
24,1895.96,0.13781,0.87417,1,0.55404,0.00147721,0.00147721,0.00147721
25,1975.73,0.12045,0.86093,1,0.56535,0.00146896,0.00146896,0.00146896
26,2054.39,0.17853,0.88079,1,0.74479,0.00146071,0.00146071,0.00146071
27,2132.99,0.14976,0.8543,1,0.35042,0.00145246,0.00145246,0.00145246
28,2211.13,0.11323,0.88742,1,0.39844,0.00144421,0.00144421,0.00144421
29,2289.56,0.10912,0.87417,1,0.4967,0.00143595,0.00143595,0.00143595
30,2368.19,0.1465,0.88742,1,0.6401,0.0014277,0.0014277,0.0014277
31,2447.01,0.14709,0.86093,1,0.50415,0.00141945,0.00141945,0.00141945
32,2525.96,0.11996,0.84768,1,0.60229,0.0014112,0.0014112,0.0014112
33,2604.65,0.11022,0.86755,1,0.57806,0.00140295,0.00140295,0.00140295
