epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,75.2724,0.54785,0.86093,1,0.34568,0.000544771,0.000544771,0.000544771
2,148.314,0.3911,0.8543,1,0.39918,0.00109499,0.00109499,0.00109499
3,222.094,0.36446,0.82119,1,0.87693,0.00163971,0.00163971,0.00163971
4,296.115,0.3968,0.87417,1,0.31802,0.00164225,0.00164225,0.00164225
5,370.688,0.3272,0.87417,1,0.43838,0.00163399,0.00163399,0.00163399
6,445.24,0.30881,0.86755,1,0.39457,0.00162574,0.00162574,0.00162574
7,520.056,0.26465,0.83444,1,0.44956,0.00161749,0.00161749,0.00161749
8,594.455,0.24382,0.87417,1,0.43582,0.00160924,0.00160924,0.00160924
9,669.071,0.23212,0.89404,1,0.30732,0.00160099,0.00160099,0.00160099
10,743.974,0.23798,0.87417,1,0.34758,0.00159274,0.00159274,0.00159274
11,818.977,0.20865,0.83444,1,0.43167,0.00158448,0.00158448,0.00158448
12,894.14,0.19794,0.88742,1,0.54155,0.00157623,0.00157623,0.00157623
13,969.225,0.27074,0.87417,1,0.72607,0.00156798,0.00156798,0.00156798
14,1044.1,0.21132,0.88742,1,0.27991,0.00155973,0.00155973,0.00155973
15,1118.93,0.1708,0.89404,1,0.46201,0.00155148,0.00155148,0.00155148
16,1194,0.15862,0.86755,1,0.50654,0.00154323,0.00154323,0.00154323
17,1268.91,0.19832,0.88079,1,0.73628,0.00153497,0.00153497,0.00153497
18,1343.56,0.19106,0.87417,1,0.60171,0.00152672,0.00152672,0.00152672
19,1418.41,0.16469,0.87417,1,0.42642,0.00151847,0.00151847,0.00151847
20,1493.76,0.17152,0.88079,1,0.37797,0.00151022,0.00151022,0.00151022
21,1568.6,0.1229,0.86755,1,0.38367,0.00150197,0.00150197,0.00150197
22,1643.62,0.15004,0.88079,1,0.31932,0.00149372,0.00149372,0.00149372
23,1718.67,0.14809,0.87417,1,0.69167,0.00148546,0.00148546,0.00148546
24,1793.68,0.14466,0.90728,1,0.4407,0.00147721,0.00147721,0.00147721
25,1869.1,0.1567,0.89404,1,0.39703,0.00146896,0.00146896,0.00146896
26,1944.13,0.15043,0.88742,1,0.52117,0.00146071,0.00146071,0.00146071
27,2018.86,0.11665,0.91391,1,0.46724,0.00145246,0.00145246,0.00145246
28,2093.75,0.10856,0.87417,1,0.51201,0.00144421,0.00144421,0.00144421
29,2169.11,0.11326,0.88079,1,0.55386,0.00143595,0.00143595,0.00143595
30,2244.69,0.12225,0.90066,1,0.4669,0.0014277,0.0014277,0.0014277
31,2319.88,0.09893,0.88079,1,0.39875,0.00141945,0.00141945,0.00141945
32,2395.01,0.15264,0.88742,1,0.57358,0.0014112,0.0014112,0.0014112
33,2470.5,0.10425,0.88079,1,0.89575,0.00140295,0.00140295,0.00140295
34,2545.99,0.10982,0.89404,1,0.55183,0.0013947,0.0013947,0.0013947
35,2621.17,0.09426,0.88742,1,0.58257,0.00138644,0.00138644,0.00138644
36,2696.4,0.08914,0.89404,1,0.68701,0.00137819,0.00137819,0.00137819
37,2771.55,0.10743,0.89404,1,0.55671,0.00136994,0.00136994,0.00136994
38,2846.58,0.07789,0.90066,1,0.46431,0.00136169,0.00136169,0.00136169
39,2921.78,0.08916,0.88079,1,0.73804,0.00135344,0.00135344,0.00135344
40,2997.1,0.08341,0.88742,1,0.61917,0.00134519,0.00134519,0.00134519
41,3072.03,0.09228,0.89404,1,0.67083,0.00133693,0.00133693,0.00133693
42,3146.86,0.08218,0.90728,1,0.70269,0.00132868,0.00132868,0.00132868
43,3222.27,0.10449,0.88742,1,0.81035,0.00132043,0.00132043,0.00132043
44,3296.91,0.11186,0.86755,1,0.82344,0.00131218,0.00131218,0.00131218
45,3371.9,0.08607,0.90066,1,0.66819,0.00130393,0.00130393,0.00130393
46,3446.74,0.07255,0.88079,1,0.61685,0.00129568,0.00129568,0.00129568
47,3521.79,0.09041,0.88742,1,1.05298,0.00128742,0.00128742,0.00128742
48,3596.56,0.11262,0.88742,1,0.47649,0.00127917,0.00127917,0.00127917
49,3671.52,0.07863,0.86093,1,0.75083,0.00127092,0.00127092,0.00127092
50,3746.43,0.08248,0.88079,1,0.76414,0.00126267,0.00126267,0.00126267
51,3821.64,0.0712,0.88742,1,0.72393,0.00125442,0.00125442,0.00125442
52,3897.13,0.0628,0.89404,1,0.71104,0.00124617,0.00124617,0.00124617
53,3972.22,0.09273,0.87417,1,0.82065,0.00123791,0.00123791,0.00123791
54,4047.53,0.0672,0.88742,1,0.64587,0.00122966,0.00122966,0.00122966
55,4122.64,0.0824,0.87417,1,0.51005,0.00122141,0.00122141,0.00122141
56,4198.18,0.07759,0.89404,1,0.65708,0.00121316,0.00121316,0.00121316
57,4273.35,0.08094,0.88742,1,0.77354,0.00120491,0.00120491,0.00120491
58,4348.7,0.08654,0.90066,1,0.64663,0.00119666,0.00119666,0.00119666
59,4424.17,0.06436,0.89404,1,0.48403,0.0011884,0.0011884,0.0011884
60,4499.94,0.08234,0.90066,1,0.71162,0.00118015,0.00118015,0.00118015
61,4575.09,0.07016,0.90066,1,0.76689,0.0011719,0.0011719,0.0011719
62,4650.43,0.07448,0.88079,1,0.62823,0.00116365,0.00116365,0.00116365
63,4725.68,0.05634,0.87417,1,0.74287,0.0011554,0.0011554,0.0011554
64,4799.73,0.06818,0.88079,1,0.946,0.00114715,0.00114715,0.00114715
65,4873.59,0.06155,0.88742,1,1.13086,0.00113889,0.00113889,0.00113889
66,4947.48,0.05947,0.88742,1,0.93975,0.00113064,0.00113064,0.00113064
67,5020.84,0.04597,0.89404,1,0.80732,0.00112239,0.00112239,0.00112239
68,5094.34,0.07487,0.90066,1,0.83594,0.00111414,0.00111414,0.00111414
69,5167.82,0.08685,0.88079,1,0.7209,0.00110589,0.00110589,0.00110589
70,5241.72,0.05113,0.88742,1,0.74136,0.00109764,0.00109764,0.00109764
71,5315.69,0.06563,0.90066,1,0.55557,0.00108938,0.00108938,0.00108938
72,5389.53,0.062,0.92053,1,0.53644,0.00108113,0.00108113,0.00108113
73,5463.38,0.07504,0.90728,1,0.66042,0.00107288,0.00107288,0.00107288
74,5537.27,0.07317,0.90728,1,0.82209,0.00106463,0.00106463,0.00106463
75,5610.99,0.06405,0.89404,1,0.95537,0.00105638,0.00105638,0.00105638
76,5684.99,0.05624,0.88742,1,0.79536,0.00104813,0.00104813,0.00104813
77,5759.26,0.06126,0.90066,1,0.91851,0.00103987,0.00103987,0.00103987
78,5833.4,0.05247,0.89404,1,0.98833,0.00103162,0.00103162,0.00103162
79,5907.65,0.04192,0.88079,1,0.7948,0.00102337,0.00102337,0.00102337
80,5981.79,0.04709,0.88079,1,0.73881,0.00101512,0.00101512,0.00101512
81,6055.99,0.08536,0.88079,1,1.1002,0.00100687,0.00100687,0.00100687
82,6129.89,0.06604,0.89404,1,0.63988,0.000998616,0.000998616,0.000998616
83,6203.8,0.08016,0.88742,1,0.92502,0.000990365,0.000990365,0.000990365
84,6277.23,0.05118,0.90066,1,0.79156,0.000982113,0.000982113,0.000982113
85,6350.93,0.05658,0.89404,1,0.97783,0.000973861,0.000973861,0.000973861
86,6424.6,0.03727,0.89404,1,0.76982,0.00096561,0.00096561,0.00096561
87,6498.3,0.05115,0.90728,1,0.84951,0.000957358,0.000957358,0.000957358
88,6572,0.04948,0.88742,1,0.72327,0.000949106,0.000949106,0.000949106
89,6645.49,0.04794,0.90066,1,0.84083,0.000940855,0.000940855,0.000940855
90,6718.67,0.04133,0.90066,1,0.9752,0.000932603,0.000932603,0.000932603
91,6792.86,0.05323,0.89404,1,0.75161,0.000924352,0.000924352,0.000924352
92,6867.07,0.03386,0.88742,1,0.86475,0.0009161,0.0009161,0.0009161
93,6940.79,0.04023,0.87417,1,0.9168,0.000907848,0.000907848,0.000907848
94,7014.37,0.04975,0.86755,1,0.75728,0.000899597,0.000899597,0.000899597
95,7088,0.04215,0.88742,1,0.72073,0.000891345,0.000891345,0.000891345
96,7162.08,0.03996,0.87417,1,0.62187,0.000883093,0.000883093,0.000883093
97,7236.14,0.04941,0.86093,1,0.68096,0.000874842,0.000874842,0.000874842
