epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.9954,0.55434,0.82781,1,0.37271,0.000544771,0.000544771,0.000544771
2,148.488,0.4823,0.86093,1,0.33972,0.00109499,0.00109499,0.00109499
3,224.418,0.41226,0.86093,1,1.09941,0.00163971,0.00163971,0.00163971
4,301.21,0.476,0.86755,1,0.45,0.00164225,0.00164225,0.00164225
5,377.958,0.38529,0.86755,1,0.52964,0.00163399,0.00163399,0.00163399
6,455.401,0.31761,0.86755,1,0.42917,0.00162574,0.00162574,0.00162574
7,532.501,0.32581,0.83444,1,0.32502,0.00161749,0.00161749,0.00161749
8,609.708,0.30688,0.87417,1,0.35266,0.00160924,0.00160924,0.00160924
9,687.025,0.25939,0.88079,1,0.30936,0.00160099,0.00160099,0.00160099
10,763.86,0.29425,0.88079,1,0.4585,0.00159274,0.00159274,0.00159274
11,841.003,0.2599,0.90728,1,0.33761,0.00158448,0.00158448,0.00158448
12,918.081,0.23515,0.88742,1,0.32388,0.00157623,0.00157623,0.00157623
13,995.296,0.25754,0.88742,1,0.39297,0.00156798,0.00156798,0.00156798
14,1072.73,0.20754,0.87417,1,0.40005,0.00155973,0.00155973,0.00155973
15,1150.26,0.23088,0.89404,1,0.27456,0.00155148,0.00155148,0.00155148
16,1227.51,0.20322,0.87417,1,0.57152,0.00154323,0.00154323,0.00154323
17,1304.46,0.20361,0.88079,1,0.59048,0.00153497,0.00153497,0.00153497
18,1381.6,0.24135,0.87417,1,0.48312,0.00152672,0.00152672,0.00152672
19,1458.81,0.18301,0.8543,1,0.3592,0.00151847,0.00151847,0.00151847
20,1536.53,0.22417,0.90066,1,0.37196,0.00151022,0.00151022,0.00151022
21,1613.71,0.20161,0.89404,1,0.4233,0.00150197,0.00150197,0.00150197
22,1690.73,0.179,0.87417,1,0.36221,0.00149372,0.00149372,0.00149372
23,1767.95,0.19411,0.90066,1,0.42852,0.00148546,0.00148546,0.00148546
24,1845.07,0.14054,0.91391,1,0.42217,0.00147721,0.00147721,0.00147721
25,1922.37,0.13794,0.88742,1,0.39417,0.00146896,0.00146896,0.00146896
26,2000.66,0.17702,0.88079,1,0.48546,0.00146071,0.00146071,0.00146071
27,2078.54,0.17091,0.91391,1,0.36761,0.00145246,0.00145246,0.00145246
28,2155.02,0.17204,0.91391,1,0.35813,0.00144421,0.00144421,0.00144421
29,2232.17,0.15188,0.88079,1,0.4374,0.00143595,0.00143595,0.00143595
30,2308.68,0.18173,0.92053,1,0.33032,0.0014277,0.0014277,0.0014277
31,2386.47,0.15015,0.91391,1,0.36226,0.00141945,0.00141945,0.00141945
32,2464.34,0.13668,0.91391,1,0.44771,0.0014112,0.0014112,0.0014112
33,2541.5,0.09529,0.90066,1,0.59497,0.00140295,0.00140295,0.00140295
34,2618.5,0.18359,0.88079,1,0.91006,0.0013947,0.0013947,0.0013947
35,2696.31,0.14611,0.90066,1,0.54897,0.00138644,0.00138644,0.00138644
