epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.7438,0.57629,0.83444,1,0.37207,0.000544771,0.000544771,0.000544771
2,151.248,0.44599,0.86755,1,0.48589,0.00109499,0.00109499,0.00109499
3,226.304,0.41321,0.70199,1,1.92979,0.00163971,0.00163971,0.00163971
4,301.595,0.43092,0.80795,1,0.48384,0.00164225,0.00164225,0.00164225
5,377.205,0.4178,0.88079,1,0.42769,0.00163399,0.00163399,0.00163399
6,452.985,0.36506,0.88079,1,0.39229,0.00162574,0.00162574,0.00162574
7,528.479,0.33637,0.86093,1,0.32681,0.00161749,0.00161749,0.00161749
8,603.92,0.31258,0.88742,1,0.40002,0.00160924,0.00160924,0.00160924
9,679.465,0.27934,0.86755,1,0.48276,0.00160099,0.00160099,0.00160099
10,755.167,0.31077,0.87417,1,0.29081,0.00159274,0.00159274,0.00159274
11,830.938,0.26262,0.89404,1,0.28422,0.00158448,0.00158448,0.00158448
12,906.889,0.25503,0.89404,1,0.32961,0.00157623,0.00157623,0.00157623
13,982.829,0.23981,0.87417,1,0.52415,0.00156798,0.00156798,0.00156798
14,1058.55,0.21039,0.89404,1,0.30771,0.00155973,0.00155973,0.00155973
15,1134.24,0.28546,0.90066,1,0.32338,0.00155148,0.00155148,0.00155148
16,1210.22,0.23394,0.88079,1,0.43794,0.00154323,0.00154323,0.00154323
17,1285.99,0.20083,0.90066,1,0.54998,0.00153497,0.00153497,0.00153497
18,1362.03,0.24264,0.88742,1,0.26931,0.00152672,0.00152672,0.00152672
19,1437.86,0.21702,0.92053,1,0.28458,0.00151847,0.00151847,0.00151847
20,1513.96,0.2516,0.93377,1,0.24755,0.00151022,0.00151022,0.00151022
21,1590.06,0.1671,0.87417,1,0.31571,0.00150197,0.00150197,0.00150197
22,1666.09,0.21968,0.91391,1,0.26656,0.00149372,0.00149372,0.00149372
23,1741.74,0.19149,0.88742,1,0.471,0.00148546,0.00148546,0.00148546
24,1817.64,0.17355,0.90728,1,0.37715,0.00147721,0.00147721,0.00147721
25,1893.3,0.17197,0.93377,1,0.30233,0.00146896,0.00146896,0.00146896
26,1969,0.17881,0.93377,1,0.26912,0.00146071,0.00146071,0.00146071
27,2044.63,0.16778,0.91391,1,0.34872,0.00145246,0.00145246,0.00145246
28,2120.49,0.16791,0.90728,1,0.35874,0.00144421,0.00144421,0.00144421
29,2196.3,0.14298,0.90066,1,0.40974,0.00143595,0.00143595,0.00143595
30,2272,0.14324,0.89404,1,0.43109,0.0014277,0.0014277,0.0014277
31,2347.34,0.17249,0.90728,1,0.39377,0.00141945,0.00141945,0.00141945
32,2422.37,0.1575,0.88742,1,0.56523,0.0014112,0.0014112,0.0014112
33,2497.59,0.14833,0.88742,1,0.53315,0.00140295,0.00140295,0.00140295
34,2572.85,0.13903,0.92715,1,0.28102,0.0013947,0.0013947,0.0013947
35,2648.13,0.13406,0.91391,1,0.44521,0.00138644,0.00138644,0.00138644
36,2723.55,0.17398,0.89404,1,0.37861,0.00137819,0.00137819,0.00137819
37,2798.98,0.1328,0.91391,1,0.29586,0.00136994,0.00136994,0.00136994
38,2874.19,0.09963,0.90066,1,0.26774,0.00136169,0.00136169,0.00136169
39,2949.65,0.14673,0.87417,1,0.70415,0.00135344,0.00135344,0.00135344
40,3024.74,0.09212,0.88742,1,0.42008,0.00134519,0.00134519,0.00134519
41,3099.91,0.11714,0.89404,1,0.59102,0.00133693,0.00133693,0.00133693
42,3175.1,0.124,0.90066,1,0.50791,0.00132868,0.00132868,0.00132868
43,3250.5,0.10763,0.91391,1,0.35251,0.00132043,0.00132043,0.00132043
44,3325.71,0.12464,0.90066,1,0.45363,0.00131218,0.00131218,0.00131218
45,3401.01,0.12396,0.90066,1,0.54629,0.00130393,0.00130393,0.00130393
46,3476.19,0.11642,0.92715,1,0.38684,0.00129568,0.00129568,0.00129568
47,3551.67,0.10426,0.88742,1,0.55455,0.00128742,0.00128742,0.00128742
48,3626.81,0.1142,0.92053,1,0.35487,0.00127917,0.00127917,0.00127917
49,3702.2,0.15406,0.91391,1,0.52539,0.00127092,0.00127092,0.00127092
50,3777.4,0.09403,0.89404,1,0.61451,0.00126267,0.00126267,0.00126267
51,3852.43,0.11853,0.90066,1,0.49788,0.00125442,0.00125442,0.00125442
52,3927.75,0.12898,0.90728,1,0.44789,0.00124617,0.00124617,0.00124617
53,4002.88,0.11978,0.90728,1,0.50115,0.00123791,0.00123791,0.00123791
54,4078.15,0.11411,0.92715,1,0.45114,0.00122966,0.00122966,0.00122966
55,4153.47,0.13198,0.90728,1,0.35952,0.00122141,0.00122141,0.00122141
56,4228.82,0.10499,0.92715,1,0.36775,0.00121316,0.00121316,0.00121316
57,4304.29,0.10665,0.91391,1,0.40917,0.00120491,0.00120491,0.00120491
58,4379.63,0.08786,0.92053,1,0.50894,0.00119666,0.00119666,0.00119666
59,4454.86,0.08555,0.91391,1,0.50591,0.0011884,0.0011884,0.0011884
60,4530.32,0.09664,0.90728,1,0.477,0.00118015,0.00118015,0.00118015
61,4605.42,0.08872,0.90066,1,0.54646,0.0011719,0.0011719,0.0011719
62,4680.81,0.08971,0.90066,1,0.60486,0.00116365,0.00116365,0.00116365
63,4756.12,0.09792,0.88079,1,0.848,0.0011554,0.0011554,0.0011554
64,4831.43,0.11069,0.89404,1,0.92764,0.00114715,0.00114715,0.00114715
65,4906.92,0.08826,0.89404,1,0.53916,0.00113889,0.00113889,0.00113889
66,4982.06,0.09709,0.88742,1,0.5999,0.00113064,0.00113064,0.00113064
67,5057.06,0.08018,0.90066,1,0.72461,0.00112239,0.00112239,0.00112239
68,5132.01,0.0867,0.90728,1,0.67788,0.00111414,0.00111414,0.00111414
69,5207.2,0.10757,0.91391,1,0.44005,0.00110589,0.00110589,0.00110589
70,5282.03,0.09885,0.89404,1,0.64409,0.00109764,0.00109764,0.00109764
71,5357.23,0.11092,0.90728,1,0.48113,0.00108938,0.00108938,0.00108938
72,5432.01,0.09807,0.91391,1,0.43364,0.00108113,0.00108113,0.00108113
73,5506.76,0.10415,0.90728,1,0.4682,0.00107288,0.00107288,0.00107288
74,5581.45,0.09751,0.90728,1,0.58726,0.00106463,0.00106463,0.00106463
75,5656.29,0.07502,0.89404,1,0.60159,0.00105638,0.00105638,0.00105638
76,5731.19,0.07482,0.88742,1,0.51107,0.00104813,0.00104813,0.00104813
77,5806.08,0.08805,0.89404,1,0.66143,0.00103987,0.00103987,0.00103987
78,5881.32,0.07099,0.90066,1,0.58896,0.00103162,0.00103162,0.00103162
79,5956.88,0.07362,0.90066,1,0.65527,0.00102337,0.00102337,0.00102337
80,6032.66,0.09141,0.91391,1,0.5936,0.00101512,0.00101512,0.00101512
81,6108.65,0.12298,0.90728,1,0.68558,0.00100687,0.00100687,0.00100687
82,6184.39,0.09171,0.89404,1,0.63838,0.000998616,0.000998616,0.000998616
83,6260.18,0.08756,0.90728,1,0.47537,0.000990365,0.000990365,0.000990365
84,6335.94,0.07969,0.91391,1,0.3228,0.000982113,0.000982113,0.000982113
85,6411.79,0.07375,0.89404,1,0.62828,0.000973861,0.000973861,0.000973861
86,6487.75,0.0737,0.92053,1,0.38022,0.00096561,0.00096561,0.00096561
87,6563.71,0.07702,0.92053,1,0.54009,0.000957358,0.000957358,0.000957358
88,6639.64,0.07812,0.91391,1,0.4533,0.000949106,0.000949106,0.000949106
89,6715.29,0.06738,0.92053,1,0.61309,0.000940855,0.000940855,0.000940855
90,6791.11,0.06623,0.90066,1,0.60372,0.000932603,0.000932603,0.000932603
91,6867.11,0.06935,0.91391,1,0.59885,0.000924352,0.000924352,0.000924352
92,6943.04,0.05953,0.91391,1,0.69617,0.0009161,0.0009161,0.0009161
93,7019.08,0.06782,0.92053,1,0.51538,0.000907848,0.000907848,0.000907848
94,7094.93,0.0715,0.92053,1,0.43966,0.000899597,0.000899597,0.000899597
95,7170.59,0.06745,0.88079,1,0.89463,0.000891345,0.000891345,0.000891345
96,7246.66,0.06588,0.88742,1,0.55544,0.000883093,0.000883093,0.000883093
97,7322.53,0.06966,0.91391,1,0.48479,0.000874842,0.000874842,0.000874842
98,7398.23,0.06635,0.89404,1,0.5937,0.00086659,0.00086659,0.00086659
99,7473.97,0.04943,0.90728,1,0.43271,0.000858338,0.000858338,0.000858338
100,7549.85,0.05924,0.91391,1,0.51055,0.000850087,0.000850087,0.000850087
101,7625.76,0.07079,0.89404,1,0.63296,0.000841835,0.000841835,0.000841835
102,7701.57,0.06913,0.92053,1,0.57622,0.000833583,0.000833583,0.000833583
103,7777.36,0.05385,0.90728,1,0.6572,0.000825332,0.000825332,0.000825332
104,7853.34,0.05484,0.90728,1,0.55356,0.00081708,0.00081708,0.00081708
105,7929.1,0.11078,0.89404,1,0.82817,0.000808828,0.000808828,0.000808828
106,8004.84,0.0662,0.91391,1,0.67819,0.000800577,0.000800577,0.000800577
107,8080.7,0.04988,0.90066,1,0.72491,0.000792325,0.000792325,0.000792325
108,8156.83,0.08308,0.88742,1,0.89465,0.000784073,0.000784073,0.000784073
109,8232.65,0.0734,0.86093,1,0.39868,0.000775822,0.000775822,0.000775822
110,8308.57,0.09379,0.87417,1,0.78018,0.00076757,0.00076757,0.00076757
111,8384.32,0.06176,0.91391,1,0.34902,0.000759318,0.000759318,0.000759318
112,8460.17,0.06776,0.90066,1,0.59777,0.000751067,0.000751067,0.000751067
113,8535.93,0.06473,0.90066,1,0.5113,0.000742815,0.000742815,0.000742815
114,8611.61,0.05493,0.90728,1,0.41655,0.000734564,0.000734564,0.000734564
115,8687.43,0.04315,0.90066,1,0.40634,0.000726312,0.000726312,0.000726312
116,8763.21,0.03642,0.90066,1,0.62644,0.00071806,0.00071806,0.00071806
117,8839.16,0.05147,0.90728,1,0.47201,0.000709809,0.000709809,0.000709809
118,8914.85,0.06451,0.92053,1,0.5144,0.000701557,0.000701557,0.000701557
119,8991.4,0.04774,0.89404,1,0.53368,0.000693305,0.000693305,0.000693305
120,9066.59,0.07028,0.90728,1,0.44431,0.000685054,0.000685054,0.000685054
