epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,82.2661,0.06234,0.86093,1,0.03596,3.26797e-05,3.26797e-05,0.0673529
2,164.666,0.04518,0.83444,1,0.03619,6.56863e-05,6.56863e-05,0.0340526
3,247.089,0.03759,0.83444,1,0.03385,9.83629e-05,9.83629e-05,0.000751958
4,329.701,0.03253,0.87417,1,0.04496,9.8515e-05,9.8515e-05,9.8515e-05
5,412.139,0.02989,0.84768,1,0.04456,9.802e-05,9.802e-05,9.802e-05
6,494.727,0.02842,0.90066,1,0.04682,9.7525e-05,9.7525e-05,9.7525e-05
7,577.173,0.02797,0.89404,1,0.03865,9.703e-05,9.703e-05,9.703e-05
8,659.693,0.02776,0.82119,1,0.02818,9.6535e-05,9.6535e-05,9.6535e-05
9,741.858,0.02125,0.91391,1,0.04212,9.604e-05,9.604e-05,9.604e-05
10,823.971,0.02067,0.90066,1,0.04644,9.5545e-05,9.5545e-05,9.5545e-05
11,906.437,0.01738,0.91391,1,0.04624,9.505e-05,9.505e-05,9.505e-05
12,988.959,0.01521,0.90066,1,0.04821,9.4555e-05,9.4555e-05,9.4555e-05
13,1071.41,0.01781,0.91391,1,0.07629,9.406e-05,9.406e-05,9.406e-05
14,1154.37,0.01693,0.76821,1,0.0318,9.3565e-05,9.3565e-05,9.3565e-05
15,1236.81,0.01775,0.90066,1,0.06223,9.307e-05,9.307e-05,9.307e-05
16,1319.62,0.01544,0.89404,1,0.02925,9.2575e-05,9.2575e-05,9.2575e-05
17,1402.56,0.0133,0.89404,1,0.07252,9.208e-05,9.208e-05,9.208e-05
18,1485.77,0.01533,0.91391,1,0.03856,9.1585e-05,9.1585e-05,9.1585e-05
19,1567.55,0.01461,0.92715,1,0.05476,9.109e-05,9.109e-05,9.109e-05
20,1650.78,0.01457,0.91391,1,0.04094,9.0595e-05,9.0595e-05,9.0595e-05
21,1732.94,0.01292,0.92053,1,0.04355,9.01e-05,9.01e-05,9.01e-05
22,1815.35,0.00994,0.92053,1,0.05847,8.9605e-05,8.9605e-05,8.9605e-05
23,1898.46,0.00972,0.90066,1,0.05778,8.911e-05,8.911e-05,8.911e-05
24,1981.36,0.01101,0.90066,1,0.04598,8.8615e-05,8.8615e-05,8.8615e-05
25,2064.46,0.01032,0.90728,1,0.04655,8.812e-05,8.812e-05,8.812e-05
26,2147.18,0.01099,0.88742,1,0.06204,8.7625e-05,8.7625e-05,8.7625e-05
27,2229.36,0.01018,0.88079,1,0.07472,8.713e-05,8.713e-05,8.713e-05
28,2311.06,0.00945,0.90728,1,0.04071,8.6635e-05,8.6635e-05,8.6635e-05
29,2392.94,0.00787,0.89404,1,0.09981,8.614e-05,8.614e-05,8.614e-05
30,2474.73,0.00825,0.88742,1,0.04624,8.5645e-05,8.5645e-05,8.5645e-05
31,2557.57,0.00818,0.90066,1,0.05038,8.515e-05,8.515e-05,8.515e-05
32,2640.67,0.00702,0.88742,1,0.12207,8.4655e-05,8.4655e-05,8.4655e-05
33,2723.62,0.00536,0.88742,1,0.07214,8.416e-05,8.416e-05,8.416e-05
34,2806.33,0.00729,0.88742,1,0.10569,8.3665e-05,8.3665e-05,8.3665e-05
35,2889.32,0.00899,0.88742,1,0.04085,8.317e-05,8.317e-05,8.317e-05
36,2971.49,0.00896,0.88079,1,0.08708,8.2675e-05,8.2675e-05,8.2675e-05
37,3054.12,0.00734,0.89404,1,0.09753,8.218e-05,8.218e-05,8.218e-05
38,3136.28,0.00916,0.88742,1,0.0924,8.1685e-05,8.1685e-05,8.1685e-05
39,3219.07,0.00612,0.91391,1,0.09006,8.119e-05,8.119e-05,8.119e-05
40,3301.92,0.00898,0.88742,1,0.06793,8.0695e-05,8.0695e-05,8.0695e-05
41,3384.75,0.00767,0.88742,1,0.1661,8.02e-05,8.02e-05,8.02e-05
