epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,78.7851,0.06102,0.70861,1,0.04292,3.26797e-05,3.26797e-05,0.0673529
2,154.629,0.04732,0.7351,1,0.04204,6.56863e-05,6.56863e-05,0.0340526
3,230.656,0.04032,0.81457,1,0.03992,9.83629e-05,9.83629e-05,0.000751958
4,306.438,0.0413,0.77483,1,0.04342,9.8515e-05,9.8515e-05,9.8515e-05
5,382.781,0.03426,0.78146,1,0.04646,9.802e-05,9.802e-05,9.802e-05
6,459.106,0.03586,0.82119,1,0.05401,9.7525e-05,9.7525e-05,9.7525e-05
7,535.714,0.0288,0.84768,1,0.02763,9.703e-05,9.703e-05,9.703e-05
8,611.75,0.02632,0.86755,1,0.04718,9.6535e-05,9.6535e-05,9.6535e-05
9,687.774,0.02646,0.8543,1,0.03601,9.604e-05,9.604e-05,9.604e-05
10,764.289,0.02341,0.90066,1,0.05197,9.5545e-05,9.5545e-05,9.5545e-05
11,840.081,0.02336,0.88079,1,0.04107,9.505e-05,9.505e-05,9.505e-05
12,915.603,0.02067,0.89404,1,0.05366,9.4555e-05,9.4555e-05,9.4555e-05
13,991.871,0.02063,0.88079,1,0.03623,9.406e-05,9.406e-05,9.406e-05
14,1068.58,0.02362,0.65563,1,0.04748,9.3565e-05,9.3565e-05,9.3565e-05
15,1145.37,0.02549,0.90066,1,0.07713,9.307e-05,9.307e-05,9.307e-05
16,1222.1,0.0192,0.88079,1,0.04249,9.2575e-05,9.2575e-05,9.2575e-05
17,1298.41,0.01626,0.90728,1,0.07243,9.208e-05,9.208e-05,9.208e-05
18,1374.35,0.01901,0.90728,1,0.04078,9.1585e-05,9.1585e-05,9.1585e-05
19,1450.07,0.01832,0.93377,1,0.08062,9.109e-05,9.109e-05,9.109e-05
20,1525.93,0.01548,0.90728,1,0.06244,9.0595e-05,9.0595e-05,9.0595e-05
21,1601.36,0.01541,0.92053,1,0.04502,9.01e-05,9.01e-05,9.01e-05
