epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.8669,0.0655,0.48344,1,0.06231,0.000163399,0.000163399,0.0674837
2,126.358,0.04186,0.82119,1,0.04213,0.000321896,0.000321896,0.0343088
3,189.986,0.03403,0.89404,1,0.11485,0.000472144,0.000472144,0.00112574
4,253.715,0.02842,0.87417,1,0.08687,0.000462875,0.000462875,0.000462875
5,315.715,0.02405,0.81457,1,0.05967,0.0004505,0.0004505,0.0004505
6,378.624,0.01952,0.88079,1,0.0826,0.000438125,0.000438125,0.000438125
7,441.546,0.02012,0.86093,1,0.06448,0.00042575,0.00042575,0.00042575
8,505.243,0.02057,0.81457,1,0.03037,0.000413375,0.000413375,0.000413375
9,567.956,0.01844,0.90066,1,0.03912,0.000401,0.000401,0.000401
10,631.449,0.01405,0.90728,1,0.05707,0.000388625,0.000388625,0.000388625
11,694.239,0.01614,0.82781,1,0.04065,0.00037625,0.00037625,0.00037625
12,757.504,0.01381,0.88079,1,0.12351,0.000363875,0.000363875,0.000363875
13,820.306,0.01437,0.89404,1,0.13713,0.0003515,0.0003515,0.0003515
14,883.362,0.01,0.87417,1,0.11952,0.000339125,0.000339125,0.000339125
15,946.318,0.01079,0.88742,1,0.23635,0.00032675,0.00032675,0.00032675
16,1009.32,0.01276,0.88742,1,0.09089,0.000314375,0.000314375,0.000314375
17,1072.06,0.01191,0.88742,1,0.14129,0.000302,0.000302,0.000302
18,1135.96,0.01136,0.90728,1,0.10426,0.000289625,0.000289625,0.000289625
19,1198.91,0.01064,0.90728,1,0.11866,0.00027725,0.00027725,0.00027725
20,1262.32,0.01261,0.86755,1,0.06849,0.000264875,0.000264875,0.000264875
21,1325.79,0.01179,0.88742,1,0.08004,0.0002525,0.0002525,0.0002525
22,1388.73,0.00985,0.89404,1,0.12294,0.000240125,0.000240125,0.000240125
23,1451.95,0.01053,0.8543,1,0.06381,0.00022775,0.00022775,0.00022775
24,1514.43,0.00965,0.89404,1,0.12677,0.000215375,0.000215375,0.000215375
25,1577.86,0.00666,0.90066,1,0.10688,0.000203,0.000203,0.000203
26,1641.45,0.00722,0.88742,1,0.14015,0.000190625,0.000190625,0.000190625
27,1704.02,0.00706,0.90066,1,0.13498,0.00017825,0.00017825,0.00017825
28,1766.64,0.00503,0.90066,1,0.10051,0.000165875,0.000165875,0.000165875
29,1828.96,0.00575,0.89404,1,0.13971,0.0001535,0.0001535,0.0001535
30,1892.13,0.00541,0.88742,1,0.13172,0.000141125,0.000141125,0.000141125
31,1955.48,0.00545,0.90066,1,0.14323,0.00012875,0.00012875,0.00012875
32,2020.43,0.00425,0.90728,1,0.11261,0.000116375,0.000116375,0.000116375
33,2084.47,0.00431,0.90728,1,0.15572,0.000104,0.000104,0.000104
34,2148.01,0.00577,0.90066,1,0.15882,9.1625e-05,9.1625e-05,9.1625e-05
35,2211.49,0.00371,0.90728,1,0.17679,7.925e-05,7.925e-05,7.925e-05
36,2274.92,0.00408,0.90728,1,0.18377,6.6875e-05,6.6875e-05,6.6875e-05
37,2338.17,0.00512,0.88742,1,0.15984,5.45e-05,5.45e-05,5.45e-05
38,2400.81,0.00327,0.89404,1,0.16727,4.2125e-05,4.2125e-05,4.2125e-05
39,2464.21,0.00351,0.89404,1,0.13951,2.975e-05,2.975e-05,2.975e-05
40,2527.94,0.00526,0.90066,1,0.13803,1.7375e-05,1.7375e-05,1.7375e-05
