epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.7555,0.03003,0.82781,1,0.09624,3.26797e-05,3.26797e-05,0.0673529
2,153.293,0.02426,0.88079,1,0.11216,6.51962e-05,6.51962e-05,0.0340521
3,229.809,0.01867,0.88079,1,0.07862,9.68876e-05,9.68876e-05,0.000750482
4,306.208,0.01594,0.90066,1,0.09047,9.62875e-05,9.62875e-05,9.62875e-05
5,382.026,0.01399,0.89404,1,0.08783,9.505e-05,9.505e-05,9.505e-05
6,457.98,0.0157,0.87417,1,0.14144,9.38125e-05,9.38125e-05,9.38125e-05
7,533.912,0.01068,0.87417,1,0.10507,9.2575e-05,9.2575e-05,9.2575e-05
8,609.363,0.01013,0.89404,1,0.11316,9.13375e-05,9.13375e-05,9.13375e-05
9,684.711,0.00965,0.90728,1,0.17771,9.01e-05,9.01e-05,9.01e-05
10,760.054,0.00772,0.90728,1,0.11329,8.88625e-05,8.88625e-05,8.88625e-05
11,835.726,0.00905,0.92053,1,0.14616,8.7625e-05,8.7625e-05,8.7625e-05
12,911.651,0.007,0.89404,1,0.13268,8.63875e-05,8.63875e-05,8.63875e-05
13,987.34,0.00787,0.88079,1,0.10293,8.515e-05,8.515e-05,8.515e-05
14,1063.18,0.01066,0.88079,1,0.13018,8.39125e-05,8.39125e-05,8.39125e-05
15,1138.87,0.0075,0.90728,1,0.18258,8.2675e-05,8.2675e-05,8.2675e-05
16,1214.9,0.00763,0.89404,1,0.14745,8.14375e-05,8.14375e-05,8.14375e-05
17,1291.03,0.00714,0.90066,1,0.15382,8.02e-05,8.02e-05,8.02e-05
18,1367.35,0.00848,0.88742,1,0.14442,7.89625e-05,7.89625e-05,7.89625e-05
19,1443.43,0.00992,0.90066,1,0.13032,7.7725e-05,7.7725e-05,7.7725e-05
20,1519.83,0.00799,0.90066,1,0.17293,7.64875e-05,7.64875e-05,7.64875e-05
21,1595.55,0.00828,0.89404,1,0.11013,7.525e-05,7.525e-05,7.525e-05
22,1671.14,0.0074,0.89404,1,0.13887,7.40125e-05,7.40125e-05,7.40125e-05
23,1746.79,0.00874,0.89404,1,0.09803,7.2775e-05,7.2775e-05,7.2775e-05
24,1823.28,0.00837,0.89404,1,0.16334,7.15375e-05,7.15375e-05,7.15375e-05
25,1900.01,0.00995,0.89404,1,0.12806,7.03e-05,7.03e-05,7.03e-05
26,1976.7,0.00804,0.90066,1,0.1484,6.90625e-05,6.90625e-05,6.90625e-05
27,2052.65,0.00755,0.90066,1,0.11994,6.7825e-05,6.7825e-05,6.7825e-05
28,2128.09,0.00602,0.91391,1,0.17456,6.65875e-05,6.65875e-05,6.65875e-05
29,2203.9,0.0082,0.89404,1,0.09574,6.535e-05,6.535e-05,6.535e-05
30,2280.4,0.00763,0.89404,1,0.13283,6.41125e-05,6.41125e-05,6.41125e-05
31,2356.88,0.00787,0.90728,1,0.16186,6.2875e-05,6.2875e-05,6.2875e-05
32,2432.47,0.00613,0.90728,1,0.12412,6.16375e-05,6.16375e-05,6.16375e-05
33,2507.91,0.00657,0.90728,1,0.13266,6.04e-05,6.04e-05,6.04e-05
34,2583.4,0.00706,0.90728,1,0.09564,5.91625e-05,5.91625e-05,5.91625e-05
35,2659.06,0.00615,0.91391,1,0.11605,5.7925e-05,5.7925e-05,5.7925e-05
36,2735.45,0.0062,0.90728,1,0.1417,5.66875e-05,5.66875e-05,5.66875e-05
37,2811.39,0.0054,0.91391,1,0.08632,5.545e-05,5.545e-05,5.545e-05
38,2887.36,0.00553,0.90728,1,0.1339,5.42125e-05,5.42125e-05,5.42125e-05
39,2963.1,0.00721,0.90728,1,0.16759,5.2975e-05,5.2975e-05,5.2975e-05
