threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn,total_predicted_positive,total_actual_positive
0.1,0.8618,0.5,0.7619,0.6038,16,16,115,5,32,21
0.15,0.8684,0.5161,0.7619,0.6154,16,15,116,5,31,21
0.2,0.8947,0.5926,0.7619,0.6667,16,11,120,5,27,21
0.25,0.8947,0.5926,0.7619,0.6667,16,11,120,5,27,21
0.3,0.9013,0.625,0.7143,0.6667,15,9,122,6,24,21
0.35,0.9013,0.65,0.619,0.6341,13,7,124,8,20,21
0.4,0.8947,0.6316,0.5714,0.6,12,7,124,9,19,21
0.45,0.9013,0.6667,0.5714,0.6154,12,6,125,9,18,21
0.5,0.9013,0.6667,0.5714,0.6154,12,6,125,9,18,21
0.55,0.9079,0.7059,0.5714,0.6316,12,5,126,9,17,21
