threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn,total_predicted_positive,total_actual_positive
0.1,0.8618,0.5,0.5714,0.5333,12,12,119,9,24,21
0.15,0.8684,0.5217,0.5714,0.5455,12,11,120,9,23,21
0.2,0.875,0.5455,0.5714,0.5581,12,10,121,9,22,21
0.25,0.8947,0.6316,0.5714,0.6,12,7,124,9,19,21
0.3,0.8882,0.625,0.4762,0.5405,10,6,125,11,16,21
0.35,0.8882,0.625,0.4762,0.5405,10,6,125,11,16,21
0.4,0.8947,0.6667,0.4762,0.5556,10,5,126,11,15,21
0.45,0.8947,0.6667,0.4762,0.5556,10,5,126,11,15,21
0.5,0.9013,0.7143,0.4762,0.5714,10,4,127,11,14,21
0.55,0.9013,0.7143,0.4762,0.5714,10,4,127,11,14,21
