epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,79.217,0.6605,0.60265,1,0.74251,0.00041675,0.00041675,0.00041675
2,157.195,0.58986,0.83444,1,1.6556,0.000847364,0.000847364,0.000847364
3,235.866,0.6611,0.4106,1,1.59342,0.00127512,0.00127512,0.00127512
4,314.803,0.57571,0.7947,1,nan,0.0016505,0.0016505,0.0016505
5,392.842,0.66116,0.65563,1,nan,0.001645,0.001645,0.001645
6,472.27,0.58072,0.86755,1,0.54964,0.00163949,0.00163949,0.00163949
7,550.768,0.6096,0.50993,1,nan,0.00163399,0.00163399,0.00163399
8,629.595,0.55171,0.84106,1,0.71436,0.00162849,0.00162849,0.00162849
9,707.203,0.51971,0.84106,1,0.64648,0.00162299,0.00162299,0.00162299
10,785.453,0.47892,0.84768,1,0.64437,0.00161749,0.00161749,0.00161749
11,863.042,0.57226,0.66887,1,0.62907,0.00161199,0.00161199,0.00161199
12,941.184,0.55278,0.8543,1,0.59342,0.00160649,0.00160649,0.00160649
13,1018.63,0.5259,0.46358,1,0.71143,0.00160099,0.00160099,0.00160099
14,1096.84,0.54873,0.4702,1,nan,0.00159549,0.00159549,0.00159549
15,1175.94,0.56576,0.3245,1,1.04704,0.00158998,0.00158998,0.00158998
16,1254,0.57104,0.86093,1,0.63118,0.00158448,0.00158448,0.00158448
17,1331.2,0.55563,0.86093,1,0.74089,0.00157898,0.00157898,0.00157898
18,1411.32,0.54932,0.84106,1,0.71257,0.00157348,0.00157348,0.00157348
19,1489.69,0.52516,0.81457,1,0.54777,0.00156798,0.00156798,0.00156798
20,1568.67,0.55098,0.8543,1,0.50977,0.00156248,0.00156248,0.00156248
21,1646.46,0.45048,0.86755,1,0.75993,0.00155698,0.00155698,0.00155698
22,1725.56,0.45449,0.54305,1,0.77767,0.00155148,0.00155148,0.00155148
23,1803.79,0.45059,0.77483,1,0.59587,0.00154598,0.00154598,0.00154598
24,1882.46,0.47206,0.86093,1,0.67415,0.00154047,0.00154047,0.00154047
25,1961.57,0.52567,0.86755,1,0.75163,0.00153497,0.00153497,0.00153497
26,2040.64,0.51187,0.86093,1,0.58846,0.00152947,0.00152947,0.00152947
27,2119.91,0.47329,0.86093,1,0.56079,0.00152397,0.00152397,0.00152397
28,2199.42,0.44474,0.82119,1,0.51701,0.00151847,0.00151847,0.00151847
29,2278.64,0.43849,0.87417,1,0.44312,0.00151297,0.00151297,0.00151297
30,2358.34,0.48033,0.70861,1,0.57373,0.00150747,0.00150747,0.00150747
31,2436.98,0.45372,0.80795,1,0.63281,0.00150197,0.00150197,0.00150197
32,2516.01,0.45092,0.82119,1,0.59611,0.00149647,0.00149647,0.00149647
33,2595.46,0.43988,0.89404,1,0.54338,0.00149096,0.00149096,0.00149096
34,2673.74,0.44273,0.36424,1,1.25358,0.00148546,0.00148546,0.00148546
