epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.522,0.6625,0.81457,1,0.57583,0.000544771,0.000544771,0.000544771
2,123.511,0.55488,0.86755,1,1.39307,0.00109681,0.00109681,0.00109681
3,184.407,0.59392,0.80795,1,0.78652,0.00164517,0.00164517,0.00164517
4,245.709,0.59918,0.62252,1,1.74248,0.0016505,0.0016505,0.0016505
5,307.338,0.66898,0.6755,1,0.83159,0.001645,0.001645,0.001645
6,367.921,0.61146,0.45033,1,1.19697,0.00163949,0.00163949,0.00163949
7,428.762,0.58629,0.50993,1,1.00439,0.00163399,0.00163399,0.00163399
8,489.722,0.59709,0.8543,1,1.02979,0.00162849,0.00162849,0.00162849
9,550.038,0.60384,0.64238,1,0.59531,0.00162299,0.00162299,0.00162299
10,610.399,0.58406,0.7947,1,0.54424,0.00161749,0.00161749,0.00161749
11,671.058,0.56655,0.86755,1,0.63535,0.00161199,0.00161199,0.00161199
12,731.48,0.65683,0.84106,1,0.71621,0.00160649,0.00160649,0.00160649
13,791.537,0.68883,0.77483,1,0.74038,0.00160099,0.00160099,0.00160099
14,850.943,0.68683,0.68212,1,0.67031,0.00159549,0.00159549,0.00159549
15,911.032,0.68784,0.76159,1,0.63027,0.00158998,0.00158998,0.00158998
16,971.27,0.65636,0.2649,1,0.75635,0.00158448,0.00158448,0.00158448
17,1031.64,0.64597,0.86093,1,0.6207,0.00157898,0.00157898,0.00157898
18,1091.68,0.62856,0.70199,1,0.61318,0.00157348,0.00157348,0.00157348
19,1152.04,0.58411,0.74834,1,0.59336,0.00156798,0.00156798,0.00156798
20,1212.6,0.59624,0.51656,1,0.86055,0.00156248,0.00156248,0.00156248
21,1272.36,0.57936,0.64901,1,0.89502,0.00155698,0.00155698,0.00155698
22,1332.5,0.58772,0.83444,1,0.58071,0.00155148,0.00155148,0.00155148
23,1392.73,0.58145,0.88079,1,0.76001,0.00154598,0.00154598,0.00154598
24,1452.56,0.50158,0.81457,1,0.59624,0.00154047,0.00154047,0.00154047
25,1512.29,0.5592,0.80132,1,0.4874,0.00153497,0.00153497,0.00153497
26,1572.94,0.5048,0.7947,1,0.5167,0.00152947,0.00152947,0.00152947
27,1632.99,0.52527,0.84768,1,0.58257,0.00152397,0.00152397,0.00152397
28,1693.17,0.49492,0.7351,1,0.68149,0.00151847,0.00151847,0.00151847
29,1752.77,0.52691,0.80795,1,0.652,0.00151297,0.00151297,0.00151297
30,1813.51,0.50338,0.83444,1,0.62666,0.00150747,0.00150747,0.00150747
31,1873.94,0.49569,0.86755,1,0.53838,0.00150197,0.00150197,0.00150197
32,1934.21,0.52766,0.83444,1,0.56675,0.00149647,0.00149647,0.00149647
33,1994.42,0.45523,0.84106,1,0.53037,0.00149096,0.00149096,0.00149096
34,2054.71,0.48442,0.86755,1,0.69399,0.00148546,0.00148546,0.00148546
35,2114.78,0.45335,0.7947,1,0.51182,0.00147996,0.00147996,0.00147996
36,2174.73,0.50544,0.84768,1,0.50781,0.00147446,0.00147446,0.00147446
37,2235.19,0.48793,0.76821,1,0.52329,0.00146896,0.00146896,0.00146896
38,2294.69,0.45928,0.84106,1,0.50488,0.00146346,0.00146346,0.00146346
39,2355.22,0.48374,0.88079,1,0.49219,0.00145796,0.00145796,0.00145796
40,2415.72,0.45906,0.82781,1,0.61899,0.00145246,0.00145246,0.00145246
41,2475.9,0.49996,0.8543,1,0.477,0.00144696,0.00144696,0.00144696
42,2535.69,0.48121,0.8543,1,0.63711,0.00144145,0.00144145,0.00144145
43,2596.51,0.44555,0.87417,1,0.59531,0.00143595,0.00143595,0.00143595
44,2655.99,0.4741,0.86093,1,0.57085,0.00143045,0.00143045,0.00143045
45,2716.09,0.461,0.84106,1,0.59395,0.00142495,0.00142495,0.00142495
46,2776.38,0.40655,0.88742,1,0.61504,0.00141945,0.00141945,0.00141945
47,2836.26,0.41938,0.84106,1,0.52729,0.00141395,0.00141395,0.00141395
48,2896.21,0.4355,0.84768,1,0.54868,0.00140845,0.00140845,0.00140845
49,2956.23,0.44356,0.81457,1,0.59443,0.00140295,0.00140295,0.00140295
50,3016.24,0.38857,0.86093,1,0.53311,0.00139745,0.00139745,0.00139745
51,3075.9,0.4409,0.80132,1,0.53364,0.00139195,0.00139195,0.00139195
52,3135.29,0.40647,0.8543,1,0.47651,0.00138644,0.00138644,0.00138644
53,3195.1,0.42268,0.8543,1,0.57671,0.00138094,0.00138094,0.00138094
54,3255.38,0.39754,0.8543,1,0.78086,0.00137544,0.00137544,0.00137544
55,3315.88,0.43319,0.86093,1,0.70032,0.00136994,0.00136994,0.00136994
56,3376.32,0.40372,0.82781,1,0.64297,0.00136444,0.00136444,0.00136444
57,3436.38,0.3722,0.88079,1,1.01387,0.00135894,0.00135894,0.00135894
58,3496.31,0.4231,0.87417,1,0.76802,0.00135344,0.00135344,0.00135344
59,3556.36,0.40579,0.86755,1,0.81782,0.00134794,0.00134794,0.00134794
60,3616.62,0.44873,0.8543,1,0.74419,0.00134244,0.00134244,0.00134244
61,3676.75,0.37999,0.75497,1,0.66133,0.00133693,0.00133693,0.00133693
62,3736.74,0.38914,0.86093,1,0.49471,0.00133143,0.00133143,0.00133143
63,3796.52,0.42444,0.86093,1,1.21777,0.00132593,0.00132593,0.00132593
64,3856.76,0.37378,0.84106,1,0.64092,0.00132043,0.00132043,0.00132043
65,3916.25,0.35241,0.90066,1,0.66416,0.00131493,0.00131493,0.00131493
66,3975.77,0.35953,0.86093,1,0.79907,0.00130943,0.00130943,0.00130943
67,4035.58,0.38715,0.82781,1,0.46201,0.00130393,0.00130393,0.00130393
68,4095.64,0.38349,0.84106,1,0.73984,0.00129843,0.00129843,0.00129843
69,4155.96,0.42107,0.86093,1,0.51792,0.00129293,0.00129293,0.00129293
70,4216.04,0.35746,0.88742,1,0.6916,0.00128742,0.00128742,0.00128742
71,4276.09,0.40804,0.80795,1,0.66919,0.00128192,0.00128192,0.00128192
72,4336.27,0.40587,0.75497,1,0.73823,0.00127642,0.00127642,0.00127642
73,4396.64,0.38646,0.8543,1,0.58708,0.00127092,0.00127092,0.00127092
74,4457.02,0.36354,0.87417,1,0.92454,0.00126542,0.00126542,0.00126542
75,4517.3,0.28694,0.84768,1,0.75557,0.00125992,0.00125992,0.00125992
76,4577.35,0.33421,0.82781,1,0.66392,0.00125442,0.00125442,0.00125442
77,4637.02,0.34437,0.86755,1,0.78577,0.00124892,0.00124892,0.00124892
78,4697.13,0.36318,0.87417,1,0.67668,0.00124342,0.00124342,0.00124342
79,4756.89,0.33572,0.88742,1,0.79009,0.00123791,0.00123791,0.00123791
80,4817.51,0.31635,0.86755,1,0.7833,0.00123241,0.00123241,0.00123241
81,4877.83,0.38217,0.86755,1,0.89663,0.00122691,0.00122691,0.00122691
82,4938.66,0.32266,0.86755,1,1.00576,0.00122141,0.00122141,0.00122141
83,4999.35,0.34567,0.89404,1,0.72205,0.00121591,0.00121591,0.00121591
84,5059.73,0.34908,0.84106,1,0.50483,0.00121041,0.00121041,0.00121041
85,5119.9,0.32568,0.84106,1,0.52803,0.00120491,0.00120491,0.00120491
86,5179.98,0.27338,0.86755,1,0.875,0.00119941,0.00119941,0.00119941
87,5240.54,0.3114,0.86755,1,0.82422,0.00119391,0.00119391,0.00119391
88,5301.08,0.34807,0.84106,1,0.48789,0.0011884,0.0011884,0.0011884
89,5361.46,0.33555,0.89404,1,1.00759,0.0011829,0.0011829,0.0011829
90,5421.68,0.30401,0.87417,1,0.75522,0.0011774,0.0011774,0.0011774
91,5481.93,0.28831,0.80132,1,0.53809,0.0011719,0.0011719,0.0011719
92,5541.97,0.29788,0.87417,1,1.04668,0.0011664,0.0011664,0.0011664
93,5601.78,0.30529,0.88079,1,1.10664,0.0011609,0.0011609,0.0011609
94,5661.66,0.28529,0.84106,1,0.70706,0.0011554,0.0011554,0.0011554
95,5721.35,0.33109,0.81457,1,0.56431,0.0011499,0.0011499,0.0011499
96,5781.95,0.33023,0.86755,1,0.83228,0.0011444,0.0011444,0.0011444
97,5842.42,0.30162,0.84768,1,0.67729,0.00113889,0.00113889,0.00113889
98,5902.65,0.30107,0.87417,1,1.16896,0.00113339,0.00113339,0.00113339
99,5962.13,0.28327,0.86755,1,0.59011,0.00112789,0.00112789,0.00112789
100,6022.34,0.32022,0.8543,1,0.76987,0.00112239,0.00112239,0.00112239
101,6082.54,0.30426,0.8543,1,0.79106,0.00111689,0.00111689,0.00111689
102,6142.88,0.33376,0.8543,1,0.96293,0.00111139,0.00111139,0.00111139
103,6203.37,0.32064,0.88742,1,1.14636,0.00110589,0.00110589,0.00110589
104,6263.67,0.28046,0.90066,1,0.71475,0.00110039,0.00110039,0.00110039
105,6324.21,0.29762,0.8543,1,0.87109,0.00109489,0.00109489,0.00109489
106,6385.17,0.26039,0.87417,1,1.31323,0.00108938,0.00108938,0.00108938
107,6445.74,0.29498,0.87417,1,1.29453,0.00108388,0.00108388,0.00108388
108,6505.56,0.28392,0.89404,1,1.32295,0.00107838,0.00107838,0.00107838
109,6565.87,0.23656,0.86093,1,0.91267,0.00107288,0.00107288,0.00107288
110,6625.79,0.26313,0.88079,1,0.92734,0.00106738,0.00106738,0.00106738
111,6686.55,0.24953,0.86093,1,1.3137,0.00106188,0.00106188,0.00106188
112,6746.52,0.29584,0.88742,1,0.79197,0.00105638,0.00105638,0.00105638
113,6806.81,0.25285,0.88742,1,0.87686,0.00105088,0.00105088,0.00105088
114,6866.48,0.23303,0.84106,1,0.71426,0.00104538,0.00104538,0.00104538
115,6926.9,0.22066,0.8543,1,1.1561,0.00103987,0.00103987,0.00103987
116,6986.96,0.23354,0.87417,1,1.22715,0.00103437,0.00103437,0.00103437
117,7047.51,0.2477,0.88742,1,1.07444,0.00102887,0.00102887,0.00102887
