threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn,total_predicted_positive,total_actual_positive
0.1,0.7961,0.375,0.7143,0.4918,15,25,106,6,40,21
0.15,0.8421,0.4516,0.6667,0.5385,14,17,114,7,31,21
0.2,0.8684,0.52,0.619,0.5652,13,12,119,8,25,21
0.25,0.8618,0.5,0.5714,0.5333,12,12,119,9,24,21
0.3,0.8947,0.6471,0.5238,0.5789,11,6,125,10,17,21
0.35,0.9013,0.6875,0.5238,0.5946,11,5,126,10,16,21
0.4,0.9079,0.7333,0.5238,0.6111,11,4,127,10,15,21
0.45,0.9079,0.7692,0.4762,0.5882,10,3,128,11,13,21
0.5,0.9145,0.8333,0.4762,0.6061,10,2,129,11,12,21
0.55,0.9145,0.8333,0.4762,0.6061,10,2,129,11,12,21
