threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn,total_predicted_positive,total_actual_positive
0.1,0.9013,0.6071,0.8095,0.6939,17,11,120,4,28,21
0.15,0.8947,0.6,0.7143,0.6522,15,10,121,6,25,21
0.2,0.9013,0.625,0.7143,0.6667,15,9,122,6,24,21
0.25,0.8882,0.5909,0.619,0.6047,13,9,122,8,22,21
0.3,0.8882,0.5909,0.619,0.6047,13,9,122,8,22,21
0.35,0.8947,0.619,0.619,0.619,13,8,123,8,21,21
0.4,0.8947,0.619,0.619,0.619,13,8,123,8,21,21
0.45,0.8947,0.6316,0.5714,0.6,12,7,124,9,19,21
0.5,0.8816,0.5882,0.4762,0.5263,10,7,124,11,17,21
0.55,0.8882,0.625,0.4762,0.5405,10,6,125,11,16,21
