epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,64.2025,0.41414,0.13245,1,0.57699,0.00041675,0.00041675,0.00041675
2,128.961,0.32942,0.13245,1,0.79948,0.000847364,0.000847364,0.000847364
3,193.243,0.34808,0.15894,1,0.75016,0.00127512,0.00127512,0.00127512
4,258.274,0.59215,0.13245,1,15.8177,0.0016505,0.0016505,0.0016505
5,323.379,0.3682,0.13245,1,10.0326,0.001645,0.001645,0.001645
6,388.598,0.34215,0.13245,1,1.27441,0.00163949,0.00163949,0.00163949
7,452.889,0.38892,0.13245,1,0.91097,0.00163399,0.00163399,0.00163399
8,517.629,0.36612,0.13245,1,0.56201,0.00162849,0.00162849,0.00162849
9,581.973,0.35328,0.13245,1,0.60181,0.00162299,0.00162299,0.00162299
10,646.083,0.3556,0.13245,1,0.53361,0.00161749,0.00161749,0.00161749
11,710.502,0.34325,0.13245,1,0.76253,0.00161199,0.00161199,0.00161199
12,774.885,0.36158,0.13245,1,0.61125,0.00160649,0.00160649,0.00160649
13,839.558,0.32906,0.47682,1,0.53499,0.00160099,0.00160099,0.00160099
14,904.177,0.39353,0.13245,1,0.95695,0.00159549,0.00159549,0.00159549
15,968.346,0.33988,0.13245,1,0.63322,0.00158998,0.00158998,0.00158998
16,1032.78,0.33968,0.13907,1,0.52995,0.00158448,0.00158448,0.00158448
17,1097.61,0.32571,0.30464,1,0.61719,0.00157898,0.00157898,0.00157898
18,1162.02,0.34705,0.13245,1,0.75537,0.00157348,0.00157348,0.00157348
19,1226.11,0.32817,0.13245,1,0.57625,0.00156798,0.00156798,0.00156798
20,1290.98,0.34905,0.13245,1,0.66715,0.00156248,0.00156248,0.00156248
21,1355.05,0.34759,0.13907,1,nan,0.00155698,0.00155698,0.00155698
22,1419.57,0.31212,0.13907,1,0.56217,0.00155148,0.00155148,0.00155148
23,1484.18,0.31269,0.13907,1,0.68026,0.00154598,0.00154598,0.00154598
24,1548.81,0.32986,0.13245,1,0.52808,0.00154047,0.00154047,0.00154047
25,1613.76,0.32109,0.13245,1,0.59798,0.00153497,0.00153497,0.00153497
26,1678.48,0.3302,0.15232,1,0.52271,0.00152947,0.00152947,0.00152947
27,1743.32,0.32643,0.12583,1,0.55583,0.00152397,0.00152397,0.00152397
28,1807.69,0.33417,0.24503,1,0.52913,0.00151847,0.00151847,0.00151847
29,1872.47,0.3233,0.58278,1,0.60661,0.00151297,0.00151297,0.00151297
