epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.6274,0.48981,0.49007,1,0.57827,0.000544771,0.000544771,0.000544771
2,115.205,0.49618,0.16556,1,0.95225,0.00109681,0.00109681,0.00109681
3,172.799,0.52127,0.13245,1,2.09785,0.00164517,0.00164517,0.00164517
4,230.507,0.54162,0.13245,1,0.68047,0.0016505,0.0016505,0.0016505
5,288.468,0.50866,0.13245,1,0.6793,0.001645,0.001645,0.001645
6,346.356,0.48445,0.13245,1,0.7062,0.00163949,0.00163949,0.00163949
7,403.634,0.46785,0.13245,1,0.57998,0.00163399,0.00163399,0.00163399
8,460.803,0.45449,0.13245,1,0.56982,0.00162849,0.00162849,0.00162849
9,517.984,0.4514,0.13245,1,0.6458,0.00162299,0.00162299,0.00162299
10,575.504,0.46277,0.13245,1,0.5625,0.00161749,0.00161749,0.00161749
11,633.078,0.42124,0.13245,1,0.66353,0.00161199,0.00161199,0.00161199
12,690.68,0.44389,0.13245,1,0.57109,0.00160649,0.00160649,0.00160649
13,748.223,0.46961,0.13245,1,0.61162,0.00160099,0.00160099,0.00160099
14,805.684,0.47033,0.13245,1,0.70093,0.00159549,0.00159549,0.00159549
15,863.781,0.42942,0.13245,1,0.59004,0.00158998,0.00158998,0.00158998
16,921.005,0.41022,0.50993,1,0.49214,0.00158448,0.00158448,0.00158448
17,978.678,0.41808,0.72848,1,0.55806,0.00157898,0.00157898,0.00157898
18,1036.52,0.39722,0.45033,1,0.51201,0.00157348,0.00157348,0.00157348
19,1094.02,0.3748,0.7947,1,0.56714,0.00156798,0.00156798,0.00156798
20,1151.73,0.40591,0.31788,1,0.67759,0.00156248,0.00156248,0.00156248
21,1209.12,0.43253,0.68212,1,0.59248,0.00155698,0.00155698,0.00155698
22,1267.55,0.41016,0.45033,1,0.59253,0.00155148,0.00155148,0.00155148
23,1325.92,0.36749,0.74172,1,0.5564,0.00154598,0.00154598,0.00154598
24,1384.12,0.37178,0.56291,1,0.57075,0.00154047,0.00154047,0.00154047
25,1441.72,0.38789,0.72185,1,0.64248,0.00153497,0.00153497,0.00153497
26,1499.91,0.37018,0.72848,1,0.54033,0.00152947,0.00152947,0.00152947
27,1558.13,0.38251,0.65563,1,0.66484,0.00152397,0.00152397,0.00152397
28,1616.12,0.40032,0.4702,1,0.60181,0.00151847,0.00151847,0.00151847
29,1674.1,0.40636,0.50331,1,0.56787,0.00151297,0.00151297,0.00151297
30,1732.4,0.40283,0.49007,1,0.51758,0.00150747,0.00150747,0.00150747
31,1790.02,0.37936,0.17881,1,0.58281,0.00150197,0.00150197,0.00150197
32,1847.69,0.39134,0.55629,1,0.57114,0.00149647,0.00149647,0.00149647
33,1905.31,0.32573,0.70861,1,0.56514,0.00149096,0.00149096,0.00149096
34,1963,0.38732,0.86755,1,0.84521,0.00148546,0.00148546,0.00148546
35,2020.65,0.34493,0.57616,1,0.71455,0.00147996,0.00147996,0.00147996
36,2078.71,0.38685,0.54305,1,0.51753,0.00147446,0.00147446,0.00147446
37,2136.31,0.34469,0.75497,1,0.65815,0.00146896,0.00146896,0.00146896
38,2193.92,0.38831,0.48344,1,0.53408,0.00146346,0.00146346,0.00146346
39,2251.61,0.39932,0.75497,1,0.67275,0.00145796,0.00145796,0.00145796
40,2309.01,0.37798,0.78146,1,0.58643,0.00145246,0.00145246,0.00145246
41,2366.45,0.34832,0.68874,1,0.49966,0.00144696,0.00144696,0.00144696
42,2424.13,0.37223,0.75497,1,0.56299,0.00144145,0.00144145,0.00144145
43,2481.91,0.35991,0.83444,1,0.62563,0.00143595,0.00143595,0.00143595
44,2539.17,0.38582,0.45695,1,0.48813,0.00143045,0.00143045,0.00143045
45,2596.65,0.35943,0.72185,1,0.58804,0.00142495,0.00142495,0.00142495
46,2654.28,0.32386,0.7947,1,0.70752,0.00141945,0.00141945,0.00141945
47,2712.15,0.33035,0.62914,1,0.53174,0.00141395,0.00141395,0.00141395
48,2769.71,0.3259,0.78146,1,0.84756,0.00140845,0.00140845,0.00140845
49,2827.36,0.35597,0.5894,1,0.4772,0.00140295,0.00140295,0.00140295
50,2885.29,0.33624,0.78808,1,0.65654,0.00139745,0.00139745,0.00139745
51,2943.43,0.31988,0.53642,1,0.56138,0.00139195,0.00139195,0.00139195
52,3001.49,0.35499,0.78146,1,0.74893,0.00138644,0.00138644,0.00138644
53,3059.32,0.3644,0.74172,1,0.72671,0.00138094,0.00138094,0.00138094
54,3116.75,0.33711,0.6755,1,0.53384,0.00137544,0.00137544,0.00137544
55,3174.31,0.36591,0.74834,1,0.48242,0.00136994,0.00136994,0.00136994
56,3231.83,0.34882,0.82119,1,0.73169,0.00136444,0.00136444,0.00136444
57,3289.51,0.30814,0.80132,1,0.61357,0.00135894,0.00135894,0.00135894
58,3347.32,0.33102,0.82119,1,0.57271,0.00135344,0.00135344,0.00135344
59,3405.29,0.37557,0.72848,1,0.58682,0.00134794,0.00134794,0.00134794
60,3463.11,0.32159,0.74834,1,0.69497,0.00134244,0.00134244,0.00134244
61,3520.48,0.31049,0.7947,1,0.77456,0.00133693,0.00133693,0.00133693
62,3578.2,0.32806,0.74172,1,0.63159,0.00133143,0.00133143,0.00133143
63,3635.85,0.33295,0.86093,1,0.72498,0.00132593,0.00132593,0.00132593
64,3693.87,0.33079,0.70199,1,0.79272,0.00132043,0.00132043,0.00132043
65,3752.28,0.32614,0.78808,1,0.71826,0.00131493,0.00131493,0.00131493
66,3810.41,0.315,0.78808,1,0.68276,0.00130943,0.00130943,0.00130943
67,3868.47,0.31602,0.78146,1,0.54729,0.00130393,0.00130393,0.00130393
68,3926.9,0.3048,0.80132,1,0.66191,0.00129843,0.00129843,0.00129843
69,3984.99,0.39761,0.70199,1,0.51211,0.00129293,0.00129293,0.00129293
70,4043,0.3287,0.78808,1,0.61943,0.00128742,0.00128742,0.00128742
71,4100.78,0.39574,0.80132,1,0.78618,0.00128192,0.00128192,0.00128192
72,4158.27,0.36531,0.6755,1,0.47881,0.00127642,0.00127642,0.00127642
73,4216.11,0.35808,0.76821,1,0.74658,0.00127092,0.00127092,0.00127092
74,4273.78,0.31841,0.75497,1,0.66416,0.00126542,0.00126542,0.00126542
75,4331.34,0.50601,0.78146,1,nan,0.00125992,0.00125992,0.00125992
76,4388.78,0.3205,0.6755,1,0.53076,0.00125442,0.00125442,0.00125442
77,4446.46,0.28846,0.81457,1,0.67988,0.00124892,0.00124892,0.00124892
78,4504.29,0.30562,0.78808,1,nan,0.00124342,0.00124342,0.00124342
79,4561.39,0.30733,0.75497,1,nan,0.00123791,0.00123791,0.00123791
80,4618.81,0.32695,0.74172,1,nan,0.00123241,0.00123241,0.00123241
81,4676.33,0.35439,0.69536,1,nan,0.00122691,0.00122691,0.00122691
82,4733.64,0.31779,0.77483,1,0.71343,0.00122141,0.00122141,0.00122141
83,4790.88,0.31633,0.78146,1,0.83877,0.00121591,0.00121591,0.00121591
84,4848.35,0.30799,0.69536,1,nan,0.00121041,0.00121041,0.00121041
85,4906.08,0.32804,0.78808,1,0.5603,0.00120491,0.00120491,0.00120491
86,4963.57,0.27417,0.78808,1,0.72432,0.00119941,0.00119941,0.00119941
87,5020.95,0.27578,0.84768,1,0.8127,0.00119391,0.00119391,0.00119391
88,5078.72,0.32958,0.72185,1,0.40847,0.0011884,0.0011884,0.0011884
89,5136.96,0.31042,0.83444,1,0.59131,0.0011829,0.0011829,0.0011829
90,5194.68,0.29085,0.82119,1,0.49668,0.0011774,0.0011774,0.0011774
91,5252.64,0.26058,0.86755,1,0.69124,0.0011719,0.0011719,0.0011719
92,5311.21,0.26961,0.74834,1,0.67603,0.0011664,0.0011664,0.0011664
93,5369.52,0.32302,0.83444,1,0.8418,0.0011609,0.0011609,0.0011609
94,5427.64,0.31986,0.7947,1,0.7436,0.0011554,0.0011554,0.0011554
95,5485.02,0.29282,0.7947,1,0.6998,0.0011499,0.0011499,0.0011499
96,5542.6,0.26465,0.82119,1,1.04688,0.0011444,0.0011444,0.0011444
97,5600.36,0.28335,0.83444,1,0.64106,0.00113889,0.00113889,0.00113889
98,5658.42,0.25648,0.84106,1,0.85518,0.00113339,0.00113339,0.00113339
99,5716.89,0.23631,0.84106,1,0.76748,0.00112789,0.00112789,0.00112789
100,5775.36,0.30424,0.84106,1,0.58584,0.00112239,0.00112239,0.00112239
101,5833.68,0.32339,0.86093,1,1.32002,0.00111689,0.00111689,0.00111689
102,5891.4,0.37115,0.69536,1,0.88779,0.00111139,0.00111139,0.00111139
103,5948.88,0.272,0.7947,1,0.62017,0.00110589,0.00110589,0.00110589
104,6006.37,0.29456,0.72185,1,0.72725,0.00110039,0.00110039,0.00110039
105,6064.15,0.32645,0.83444,1,0.95815,0.00109489,0.00109489,0.00109489
106,6121.81,0.30339,0.83444,1,0.74458,0.00108938,0.00108938,0.00108938
107,6179.32,0.27121,0.84106,1,0.6917,0.00108388,0.00108388,0.00108388
108,6236.79,0.29087,0.86093,1,1.07061,0.00107838,0.00107838,0.00107838
109,6294.82,0.23821,0.75497,1,0.61724,0.00107288,0.00107288,0.00107288
110,6352.92,0.28954,0.83444,1,0.80283,0.00106738,0.00106738,0.00106738
111,6410.55,0.27884,0.82781,1,0.52422,0.00106188,0.00106188,0.00106188
112,6467.9,0.2678,0.76159,1,0.46543,0.00105638,0.00105638,0.00105638
113,6525.1,0.2865,0.80132,1,0.78918,0.00105088,0.00105088,0.00105088
114,6582.57,0.28944,0.77483,1,0.73428,0.00104538,0.00104538,0.00104538
115,6640.4,0.26023,0.82119,1,0.90071,0.00103987,0.00103987,0.00103987
116,6698.25,0.32157,0.55629,1,0.44873,0.00103437,0.00103437,0.00103437
117,6756.12,0.31534,0.76159,1,0.70776,0.00102887,0.00102887,0.00102887
118,6813.75,0.32255,0.74834,1,0.82109,0.00102337,0.00102337,0.00102337
119,6871.54,0.3211,0.81457,1,0.62988,0.00101787,0.00101787,0.00101787
120,6928.97,0.33178,0.84768,1,0.79014,0.00101237,0.00101237,0.00101237
121,6986.94,0.30872,0.80795,1,0.81099,0.00100687,0.00100687,0.00100687
122,7044.79,0.29679,0.80795,1,1.04022,0.00100137,0.00100137,0.00100137
123,7102.67,0.29629,0.78808,1,0.69666,0.000995866,0.000995866,0.000995866
124,7160.29,0.22522,0.88742,1,0.69143,0.000990365,0.000990365,0.000990365
125,7218.03,0.30541,0.88079,1,0.89443,0.000984864,0.000984864,0.000984864
126,7276.05,0.25098,0.83444,1,0.82744,0.000979362,0.000979362,0.000979362
127,7334.07,0.24715,0.82781,1,0.66282,0.000973861,0.000973861,0.000973861
128,7391.97,0.30077,0.83444,1,0.81665,0.00096836,0.00096836,0.00096836
129,7449.64,0.26723,0.84768,1,0.55535,0.000962859,0.000962859,0.000962859
130,7507.44,0.2565,0.84106,1,0.61748,0.000957358,0.000957358,0.000957358
131,7565.43,0.2408,0.82119,1,0.61499,0.000951857,0.000951857,0.000951857
132,7623.16,0.28685,0.87417,1,0.6688,0.000946356,0.000946356,0.000946356
133,7680.98,0.2544,0.86755,1,0.79292,0.000940855,0.000940855,0.000940855
134,7738.28,0.25624,0.82119,1,0.69774,0.000935354,0.000935354,0.000935354
135,7795.84,0.27915,0.86755,1,0.83945,0.000929853,0.000929853,0.000929853
136,7853.69,0.29607,0.88079,1,0.78066,0.000924352,0.000924352,0.000924352
137,7911.39,0.24095,0.81457,1,0.78145,0.00091885,0.00091885,0.00091885
138,7968.85,0.20459,0.90728,1,0.87866,0.000913349,0.000913349,0.000913349
139,8026.61,0.28619,0.90066,1,0.84287,0.000907848,0.000907848,0.000907848
140,8084.73,0.25555,0.88079,1,0.80273,0.000902347,0.000902347,0.000902347
141,8142.75,0.21245,0.86755,1,0.61653,0.000896846,0.000896846,0.000896846
142,8200.57,0.24462,0.7947,1,0.85293,0.000891345,0.000891345,0.000891345
143,8257.9,0.29523,0.7947,1,0.55869,0.000885844,0.000885844,0.000885844
144,8315.35,0.28992,0.84106,1,0.56519,0.000880343,0.000880343,0.000880343
145,8372.81,0.26093,0.88079,1,1.42388,0.000874842,0.000874842,0.000874842
146,8430.36,0.2348,0.8543,1,nan,0.00086934,0.00086934,0.00086934
147,8487.78,0.24061,0.8543,1,1.23711,0.000863839,0.000863839,0.000863839
148,8545.81,0.25615,0.83444,1,nan,0.000858338,0.000858338,0.000858338
149,8603.85,0.23357,0.88079,1,nan,0.000852837,0.000852837,0.000852837
150,8661.84,0.26039,0.8543,1,0.88164,0.000847336,0.000847336,0.000847336
151,8719.76,0.24965,0.88079,1,1.06254,0.000841835,0.000841835,0.000841835
152,8777.54,0.26352,0.78146,1,0.46665,0.000836334,0.000836334,0.000836334
153,8835.69,0.25135,0.88079,1,1.02803,0.000830833,0.000830833,0.000830833
154,8893.67,0.22207,0.82781,1,nan,0.000825332,0.000825332,0.000825332
155,8951.36,0.22459,0.86093,1,nan,0.000819831,0.000819831,0.000819831
156,9008.77,0.22887,0.87417,1,nan,0.000814329,0.000814329,0.000814329
157,9066.3,0.23696,0.86755,1,nan,0.000808828,0.000808828,0.000808828
158,9123.78,0.20788,0.88079,1,nan,0.000803327,0.000803327,0.000803327
159,9181.5,0.22258,0.88079,1,nan,0.000797826,0.000797826,0.000797826
160,9239.35,0.26864,0.86093,1,1.48503,0.000792325,0.000792325,0.000792325
161,9297.19,0.23017,0.78808,1,0.89282,0.000786824,0.000786824,0.000786824
162,9354.96,0.2066,0.88742,1,1.01485,0.000781323,0.000781323,0.000781323
163,9412.64,0.18761,0.90066,1,1.14258,0.000775822,0.000775822,0.000775822
164,9470.35,0.27411,0.8543,1,1.01362,0.000770321,0.000770321,0.000770321
165,9527.85,0.23746,0.88079,1,1.17461,0.00076482,0.00076482,0.00076482
166,9585.65,0.2232,0.89404,1,0.95364,0.000759318,0.000759318,0.000759318
167,9643.45,0.24216,0.86093,1,0.91377,0.000753817,0.000753817,0.000753817
168,9701.38,0.26936,0.87417,1,1.17432,0.000748316,0.000748316,0.000748316
