epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,66.3453,0.06775,0.5894,1,0.05647,0.00041675,0.00041675,0.00041675
2,139.481,0.06736,0.76159,1,0.04867,0.000847364,0.000847364,0.000847364
3,210.245,0.06761,0.13907,1,0.41543,0.00127512,0.00127512,0.00127512
4,283.488,0.05759,0.74172,1,3.52243,0.0016505,0.0016505,0.0016505
5,355.097,0.05523,0.1457,1,0.19719,0.001645,0.001645,0.001645
6,426.598,0.04675,0.57616,1,0.06173,0.00163949,0.00163949,0.00163949
7,497.064,0.04998,0.76159,1,0.04347,0.00163399,0.00163399,0.00163399
8,569.392,0.04491,0.27152,1,0.05524,0.00162849,0.00162849,0.00162849
9,640.018,0.04383,0.69536,1,0.06277,0.00162299,0.00162299,0.00162299
10,711.089,0.04585,0.66887,1,0.06766,0.00161749,0.00161749,0.00161749
11,782.399,0.04912,0.77483,1,0.03883,0.00161199,0.00161199,0.00161199
12,854.292,0.04591,0.19868,1,0.4342,0.00160649,0.00160649,0.00160649
13,925.742,0.04458,0.76821,1,0.03827,0.00160099,0.00160099,0.00160099
14,997.356,0.03982,0.76159,1,0.04052,0.00159549,0.00159549,0.00159549
15,1068.11,0.04346,0.77483,1,0.03792,0.00158998,0.00158998,0.00158998
16,1140.07,0.04401,0.87417,1,0.03599,0.00158448,0.00158448,0.00158448
17,1211.51,0.04385,0.86755,1,0.06512,0.00157898,0.00157898,0.00157898
18,1282.9,0.04126,0.86755,1,0.037,0.00157348,0.00157348,0.00157348
19,1353.63,0.03959,0.87417,1,0.05564,0.00156798,0.00156798,0.00156798
20,1425.89,0.04195,0.88079,1,0.07095,0.00156248,0.00156248,0.00156248
21,1498.12,0.04137,0.8543,1,0.05843,0.00155698,0.00155698,0.00155698
22,1569.43,0.04003,0.66887,1,0.06169,0.00155148,0.00155148,0.00155148
23,1642.37,0.0416,0.86093,1,0.03979,0.00154598,0.00154598,0.00154598
24,1712.92,0.04156,0.7947,1,0.05238,0.00154047,0.00154047,0.00154047
25,1785.77,0.04164,0.80795,1,0.04498,0.00153497,0.00153497,0.00153497
26,1856.39,0.03875,0.88079,1,0.07584,0.00152947,0.00152947,0.00152947
27,1927.78,0.03607,0.86755,1,0.04707,0.00152397,0.00152397,0.00152397
28,2000.2,0.03646,0.80132,1,0.03259,0.00151847,0.00151847,0.00151847
29,2071.19,0.03414,0.72185,1,0.03744,0.00151297,0.00151297,0.00151297
30,2143.22,0.04193,0.15232,1,0.17262,0.00150747,0.00150747,0.00150747
31,2213.77,0.04361,0.71523,1,0.06423,0.00150197,0.00150197,0.00150197
32,2285.08,0.03629,0.88742,1,0.08217,0.00149647,0.00149647,0.00149647
33,2356.4,0.03551,0.86755,1,0.05696,0.00149096,0.00149096,0.00149096
34,2427.38,0.03453,0.8543,1,0.03753,0.00148546,0.00148546,0.00148546
35,2498.4,0.03399,0.88079,1,0.03144,0.00147996,0.00147996,0.00147996
36,2569.43,0.03604,0.88079,1,0.08275,0.00147446,0.00147446,0.00147446
37,2641.38,0.04021,0.81457,1,0.03947,0.00146896,0.00146896,0.00146896
38,2712.75,0.042,0.78808,1,0.04437,0.00146346,0.00146346,0.00146346
39,2785.99,0.04077,0.54305,1,0.11526,0.00145796,0.00145796,0.00145796
40,2856.59,0.04855,0.63576,1,0.06204,0.00145246,0.00145246,0.00145246
41,2928.38,0.03948,0.6755,1,0.047,0.00144696,0.00144696,0.00144696
42,2998.69,0.0383,0.80795,1,0.03029,0.00144145,0.00144145,0.00144145
43,3070.34,0.04218,0.87417,1,0.0662,0.00143595,0.00143595,0.00143595
44,3141.45,0.04068,0.86755,1,0.05851,0.00143045,0.00143045,0.00143045
45,3212.61,0.03349,0.86755,1,0.04938,0.00142495,0.00142495,0.00142495
46,3284.04,0.03246,0.86093,1,0.04864,0.00141945,0.00141945,0.00141945
47,3356.61,0.03145,0.81457,1,0.04247,0.00141395,0.00141395,0.00141395
48,3428.2,0.03612,0.7947,1,0.03636,0.00140845,0.00140845,0.00140845
49,3500.96,0.03366,0.80132,1,0.03013,0.00140295,0.00140295,0.00140295
50,3572.47,0.03687,0.84768,1,0.02772,0.00139745,0.00139745,0.00139745
51,3643.96,0.03229,0.88079,1,0.06983,0.00139195,0.00139195,0.00139195
52,3714.98,0.03223,0.88079,1,0.08224,0.00138644,0.00138644,0.00138644
53,3786,0.02666,0.81457,1,0.063,0.00138094,0.00138094,0.00138094
54,3857.75,0.03075,0.84768,1,0.0557,0.00137544,0.00137544,0.00137544
55,3929.1,0.03196,0.8543,1,0.06753,0.00136994,0.00136994,0.00136994
56,4001.12,0.03257,0.80795,1,0.02595,0.00136444,0.00136444,0.00136444
57,4073.55,0.03585,0.8543,1,0.03174,0.00135894,0.00135894,0.00135894
58,4144.64,0.02991,0.89404,1,0.0329,0.00135344,0.00135344,0.00135344
59,4216.35,0.03251,0.86755,1,0.04181,0.00134794,0.00134794,0.00134794
60,4287.29,0.02842,0.86755,1,0.03373,0.00134244,0.00134244,0.00134244
61,4359,0.03235,0.76159,1,0.03379,0.00133693,0.00133693,0.00133693
62,4431.11,0.02959,0.88079,1,0.03784,0.00133143,0.00133143,0.00133143
63,4503.57,0.03565,0.86755,1,0.04407,0.00132593,0.00132593,0.00132593
64,4575.03,0.03185,0.88742,1,0.09566,0.00132043,0.00132043,0.00132043
65,4646.88,0.02489,0.87417,1,0.0579,0.00131493,0.00131493,0.00131493
66,4719.28,0.02737,0.88079,1,0.0333,0.00130943,0.00130943,0.00130943
67,4791.58,0.02873,0.84768,1,0.03083,0.00130393,0.00130393,0.00130393
68,4863.83,0.02891,0.8543,1,0.04425,0.00129843,0.00129843,0.00129843
69,4936.71,0.0308,0.86093,1,0.0229,0.00129293,0.00129293,0.00129293
70,5007.52,0.02755,0.91391,1,0.04705,0.00128742,0.00128742,0.00128742
71,5079.46,0.03215,0.87417,1,0.02847,0.00128192,0.00128192,0.00128192
72,5151.43,0.02921,0.86093,1,0.05212,0.00127642,0.00127642,0.00127642
73,5224.18,0.03001,0.7947,1,0.03876,0.00127092,0.00127092,0.00127092
74,5296.02,0.02809,0.87417,1,0.21569,0.00126542,0.00126542,0.00126542
75,5369.31,0.02729,0.88079,1,0.13545,0.00125992,0.00125992,0.00125992
76,5441.12,0.02992,0.78808,1,0.03638,0.00125442,0.00125442,0.00125442
77,5513.05,0.02836,0.88079,1,0.18268,0.00124892,0.00124892,0.00124892
78,5583.03,0.03208,0.87417,1,0.05399,0.00124342,0.00124342,0.00124342
79,5654.63,0.03891,0.84106,1,0.06146,0.00123791,0.00123791,0.00123791
80,5725.79,0.03159,0.88742,1,0.06096,0.00123241,0.00123241,0.00123241
81,5796.38,0.03273,0.88079,1,0.04392,0.00122691,0.00122691,0.00122691
82,5869.01,0.03123,0.89404,1,0.11274,0.00122141,0.00122141,0.00122141
83,5940.24,0.02622,0.89404,1,0.08105,0.00121591,0.00121591,0.00121591
84,6011.83,0.02573,0.84106,1,0.04785,0.00121041,0.00121041,0.00121041
85,6083.89,0.02706,0.90066,1,0.07697,0.00120491,0.00120491,0.00120491
86,6155.95,0.02858,0.88079,1,0.12013,0.00119941,0.00119941,0.00119941
87,6226.69,0.03097,0.86755,1,0.03356,0.00119391,0.00119391,0.00119391
88,6298.91,0.02267,0.88742,1,0.07852,0.0011884,0.0011884,0.0011884
89,6370.22,0.02485,0.88742,1,0.06997,0.0011829,0.0011829,0.0011829
90,6441.83,0.02474,0.90728,1,0.03603,0.0011774,0.0011774,0.0011774
91,6514.97,0.02454,0.88742,1,0.05192,0.0011719,0.0011719,0.0011719
