epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.6797,0.07011,0.74834,1,0.05439,0.000544771,0.000544771,0.000544771
2,125.882,0.06954,0.18543,1,0.07712,0.00109681,0.00109681,0.00109681
3,189.009,0.06005,0.27152,1,0.05603,0.00164517,0.00164517,0.00164517
4,252.21,0.05716,0.13907,1,0.21888,0.0016505,0.0016505,0.0016505
5,315.501,0.05535,0.64238,1,0.04787,0.001645,0.001645,0.001645
6,379.292,0.04974,0.62252,1,0.04657,0.00163949,0.00163949,0.00163949
7,443.139,0.05022,0.2053,1,0.05467,0.00163399,0.00163399,0.00163399
8,507.205,0.04727,0.2649,1,0.05785,0.00162849,0.00162849,0.00162849
9,570.902,0.04876,0.80132,1,0.04801,0.00162299,0.00162299,0.00162299
10,634.341,0.05257,0.88742,1,0.03279,0.00161749,0.00161749,0.00161749
11,697.338,0.05183,0.21854,1,0.0662,0.00161199,0.00161199,0.00161199
12,761.36,0.05127,0.46358,1,0.07007,0.00160649,0.00160649,0.00160649
13,825.092,0.0537,0.86755,1,0.04431,0.00160099,0.00160099,0.00160099
14,887.329,0.04843,0.56291,1,0.05798,0.00159549,0.00159549,0.00159549
15,950.305,0.04187,0.78146,1,0.04016,0.00158998,0.00158998,0.00158998
16,1013.31,0.0419,0.83444,1,0.03411,0.00158448,0.00158448,0.00158448
17,1075.83,0.04525,0.90728,1,0.0418,0.00157898,0.00157898,0.00157898
18,1138.72,0.04059,0.7351,1,0.06423,0.00157348,0.00157348,0.00157348
19,1202.22,0.04556,0.74172,1,0.05208,0.00156798,0.00156798,0.00156798
20,1266.14,0.04784,0.82781,1,0.03705,0.00156248,0.00156248,0.00156248
21,1330.65,0.04664,0.47682,1,0.07176,0.00155698,0.00155698,0.00155698
22,1391.15,0.04446,0.70199,1,0.0522,0.00155148,0.00155148,0.00155148
23,1451.08,0.04413,0.75497,1,0.03784,0.00154598,0.00154598,0.00154598
24,1510.7,0.03673,0.84106,1,0.04006,0.00154047,0.00154047,0.00154047
25,1570.98,0.04495,0.82781,1,0.04284,0.00153497,0.00153497,0.00153497
26,1630.74,0.04294,0.84768,1,0.03653,0.00152947,0.00152947,0.00152947
27,1690.4,0.04091,0.82119,1,0.03989,0.00152397,0.00152397,0.00152397
28,1750.16,0.03671,0.88742,1,0.0372,0.00151847,0.00151847,0.00151847
29,1810.24,0.04249,0.8543,1,0.03662,0.00151297,0.00151297,0.00151297
30,1870.68,0.04068,0.74172,1,0.04132,0.00150747,0.00150747,0.00150747
31,1930.99,0.0441,0.82119,1,0.03669,0.00150197,0.00150197,0.00150197
32,1991.14,0.03945,0.86093,1,0.03475,0.00149647,0.00149647,0.00149647
33,2050.82,0.03768,0.75497,1,0.05418,0.00149096,0.00149096,0.00149096
34,2110.37,0.04042,0.8543,1,0.03252,0.00148546,0.00148546,0.00148546
35,2170.69,0.03782,0.87417,1,0.0385,0.00147996,0.00147996,0.00147996
36,2230.43,0.04277,0.86755,1,0.03326,0.00147446,0.00147446,0.00147446
37,2290.56,0.04031,0.86755,1,0.03514,0.00146896,0.00146896,0.00146896
38,2350.82,0.03557,0.81457,1,0.04598,0.00146346,0.00146346,0.00146346
39,2410.52,0.03846,0.8543,1,0.03433,0.00145796,0.00145796,0.00145796
40,2470.24,0.04093,0.91391,1,0.03457,0.00145246,0.00145246,0.00145246
41,2530.12,0.03643,0.87417,1,0.05802,0.00144696,0.00144696,0.00144696
42,2590.21,0.03644,0.88079,1,0.04603,0.00144145,0.00144145,0.00144145
43,2650.82,0.03851,0.88742,1,0.04158,0.00143595,0.00143595,0.00143595
44,2710.83,0.03996,0.87417,1,0.04674,0.00143045,0.00143045,0.00143045
45,2770.95,0.03571,0.84768,1,0.0459,0.00142495,0.00142495,0.00142495
46,2830.77,0.02972,0.88742,1,0.05953,0.00141945,0.00141945,0.00141945
47,2890.54,0.03391,0.88742,1,0.05677,0.00141395,0.00141395,0.00141395
48,2950.15,0.03635,0.82119,1,0.04425,0.00140845,0.00140845,0.00140845
49,3010.63,0.04438,0.83444,1,0.03495,0.00140295,0.00140295,0.00140295
50,3070.24,0.03572,0.89404,1,0.04187,0.00139745,0.00139745,0.00139745
51,3129.66,0.03119,0.87417,1,0.04516,0.00139195,0.00139195,0.00139195
52,3190.23,0.03755,0.87417,1,0.03716,0.00138644,0.00138644,0.00138644
53,3250.84,0.03606,0.88079,1,0.03861,0.00138094,0.00138094,0.00138094
54,3311.06,0.03256,0.89404,1,0.0414,0.00137544,0.00137544,0.00137544
55,3370.75,0.03782,0.84106,1,0.03453,0.00136994,0.00136994,0.00136994
56,3430.41,0.03537,0.86755,1,0.03137,0.00136444,0.00136444,0.00136444
57,3490.91,0.03172,0.86755,1,0.04564,0.00135894,0.00135894,0.00135894
58,3550.5,0.03074,0.8543,1,0.04112,0.00135344,0.00135344,0.00135344
59,3610.63,0.02971,0.88742,1,0.04702,0.00134794,0.00134794,0.00134794
60,3670.83,0.03969,0.7947,1,0.04086,0.00134244,0.00134244,0.00134244
61,3730.81,0.03426,0.82781,1,0.05215,0.00133693,0.00133693,0.00133693
62,3791.53,0.03415,0.87417,1,0.08335,0.00133143,0.00133143,0.00133143
63,3850.95,0.03829,0.87417,1,0.04767,0.00132593,0.00132593,0.00132593
64,3910.56,0.03078,0.88079,1,0.06329,0.00132043,0.00132043,0.00132043
65,3971.05,0.03392,0.82781,1,0.04072,0.00131493,0.00131493,0.00131493
66,4031.25,0.03048,0.89404,1,0.06224,0.00130943,0.00130943,0.00130943
67,4090.96,0.03299,0.87417,1,0.04966,0.00130393,0.00130393,0.00130393
68,4150.6,0.0323,0.84768,1,0.05174,0.00129843,0.00129843,0.00129843
69,4210.24,0.03591,0.84768,1,0.04745,0.00129293,0.00129293,0.00129293
70,4269.83,0.03037,0.88079,1,0.04722,0.00128742,0.00128742,0.00128742
71,4330.09,0.03172,0.8543,1,0.0574,0.00128192,0.00128192,0.00128192
72,4389.74,0.03378,0.83444,1,0.04673,0.00127642,0.00127642,0.00127642
73,4449.79,0.03451,0.86755,1,0.06467,0.00127092,0.00127092,0.00127092
74,4509.9,0.03355,0.8543,1,0.06847,0.00126542,0.00126542,0.00126542
