epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,95.9264,0.59147,0.8543,1,0.42903,0.000544771,0.000544771,0.000544771
2,177.957,0.49324,0.56954,1,0.71864,0.00109681,0.00109681,0.00109681
3,260.396,0.46112,0.87417,1,0.61488,0.00164517,0.00164517,0.00164517
4,343.1,0.4644,0.88079,1,0.46056,0.0016505,0.0016505,0.0016505
5,425.38,0.43253,0.8543,1,0.54089,0.001645,0.001645,0.001645
6,507.375,0.41319,0.8543,1,0.41251,0.00163949,0.00163949,0.00163949
7,589.009,0.41009,0.86093,1,0.40033,0.00163399,0.00163399,0.00163399
8,670.402,0.40305,0.88079,1,0.54076,0.00162849,0.00162849,0.00162849
9,751.838,0.39351,0.88079,1,0.38072,0.00162299,0.00162299,0.00162299
10,833.278,0.38826,0.88079,1,0.52053,0.00161749,0.00161749,0.00161749
11,914.718,0.35649,0.88079,1,0.45594,0.00161199,0.00161199,0.00161199
12,996.428,0.35347,0.87417,1,0.42625,0.00160649,0.00160649,0.00160649
13,1077.97,0.36305,0.88079,1,0.45893,0.00160099,0.00160099,0.00160099
14,1159.51,0.33008,0.87417,1,0.43162,0.00159549,0.00159549,0.00159549
15,1241.59,0.34148,0.86755,1,0.40051,0.00158998,0.00158998,0.00158998
16,1323.15,0.35241,0.88079,1,0.44224,0.00158448,0.00158448,0.00158448
17,1404.72,0.34641,0.88079,1,0.49624,0.00157898,0.00157898,0.00157898
18,1486.48,0.34635,0.88742,1,0.41283,0.00157348,0.00157348,0.00157348
19,1568.54,0.30492,0.89404,1,0.40142,0.00156798,0.00156798,0.00156798
20,1649.79,0.30331,0.88742,1,0.42799,0.00156248,0.00156248,0.00156248
21,1731.52,0.32171,0.87417,1,0.40285,0.00155698,0.00155698,0.00155698
22,1813.85,0.30187,0.89404,1,0.42961,0.00155148,0.00155148,0.00155148
23,1895.59,0.28117,0.89404,1,0.43085,0.00154598,0.00154598,0.00154598
24,1976.93,0.29245,0.86755,1,0.46057,0.00154047,0.00154047,0.00154047
25,2058.91,0.3067,0.88079,1,0.42855,0.00153497,0.00153497,0.00153497
26,2140.98,0.28994,0.88079,1,0.50515,0.00152947,0.00152947,0.00152947
27,2222.37,0.33097,0.88079,1,0.51767,0.00152397,0.00152397,0.00152397
28,2303.52,0.29281,0.87417,1,0.44411,0.00151847,0.00151847,0.00151847
29,2384.5,0.29446,0.88079,1,0.44841,0.00151297,0.00151297,0.00151297
30,2465.44,0.30583,0.88079,1,0.46293,0.00150747,0.00150747,0.00150747
31,2546.45,0.26319,0.88742,1,0.49433,0.00150197,0.00150197,0.00150197
32,2627.83,0.288,0.88079,1,0.44972,0.00149647,0.00149647,0.00149647
33,2709.47,0.28811,0.88742,1,0.44401,0.00149096,0.00149096,0.00149096
34,2791.37,0.29277,0.87417,1,0.44169,0.00148546,0.00148546,0.00148546
35,2872.95,0.29572,0.89404,1,0.49813,0.00147996,0.00147996,0.00147996
36,2955.77,0.27226,0.88079,1,0.45639,0.00147446,0.00147446,0.00147446
37,3037.7,0.2699,0.88079,1,0.48706,0.00146896,0.00146896,0.00146896
38,3120.11,0.27543,0.90066,1,0.42656,0.00146346,0.00146346,0.00146346
39,3202.7,0.27769,0.87417,1,0.43611,0.00145796,0.00145796,0.00145796
40,3285.19,0.27789,0.88742,1,0.42667,0.00145246,0.00145246,0.00145246
41,3367.38,0.26068,0.86755,1,0.54227,0.00144696,0.00144696,0.00144696
42,3449.96,0.26101,0.88742,1,0.51491,0.00144145,0.00144145,0.00144145
43,3532.18,0.26167,0.88079,1,0.46961,0.00143595,0.00143595,0.00143595
44,3614.93,0.25892,0.88079,1,0.46615,0.00143045,0.00143045,0.00143045
45,3698.19,0.2677,0.89404,1,0.41386,0.00142495,0.00142495,0.00142495
46,3781.57,0.25928,0.88079,1,0.45235,0.00141945,0.00141945,0.00141945
47,3864.72,0.25856,0.89404,1,0.42873,0.00141395,0.00141395,0.00141395
48,3947.87,0.26375,0.86755,1,0.48078,0.00140845,0.00140845,0.00140845
49,4030.78,0.26249,0.87417,1,0.50183,0.00140295,0.00140295,0.00140295
50,4113.35,0.26693,0.87417,1,0.45764,0.00139745,0.00139745,0.00139745
51,4196.18,0.26546,0.87417,1,0.4922,0.00139195,0.00139195,0.00139195
52,4278.69,0.2681,0.89404,1,0.43926,0.00138644,0.00138644,0.00138644
53,4361.22,0.2747,0.89404,1,0.4513,0.00138094,0.00138094,0.00138094
54,4443.19,0.26212,0.88079,1,0.51707,0.00137544,0.00137544,0.00137544
55,4525.01,0.25943,0.86093,1,0.53349,0.00136994,0.00136994,0.00136994
56,4607.11,0.2562,0.86755,1,0.51839,0.00136444,0.00136444,0.00136444
57,4689.68,0.24844,0.89404,1,0.39679,0.00135894,0.00135894,0.00135894
58,4772.13,0.25166,0.87417,1,0.47019,0.00135344,0.00135344,0.00135344
59,4854.39,0.2728,0.87417,1,0.4337,0.00134794,0.00134794,0.00134794
60,4936.72,0.28699,0.87417,1,0.50666,0.00134244,0.00134244,0.00134244
61,5019.08,0.29056,0.8543,1,0.43365,0.00133693,0.00133693,0.00133693
62,5101.89,0.26654,0.87417,1,0.49957,0.00133143,0.00133143,0.00133143
63,5184.3,0.26684,0.88079,1,0.48408,0.00132593,0.00132593,0.00132593
64,5267.09,0.24363,0.87417,1,0.49393,0.00132043,0.00132043,0.00132043
65,5349.86,0.25962,0.88742,1,0.49368,0.00131493,0.00131493,0.00131493
66,5433.54,0.26256,0.88079,1,0.45451,0.00130943,0.00130943,0.00130943
67,5516.36,0.24848,0.88079,1,0.49683,0.00130393,0.00130393,0.00130393
68,5598.81,0.23943,0.86755,1,0.47586,0.00129843,0.00129843,0.00129843
69,5680.97,0.24963,0.86093,1,0.48495,0.00129293,0.00129293,0.00129293
70,5763.74,0.24931,0.87417,1,0.50211,0.00128742,0.00128742,0.00128742
71,5846.16,0.24293,0.87417,1,0.50155,0.00128192,0.00128192,0.00128192
72,5928.68,0.25012,0.88079,1,0.49049,0.00127642,0.00127642,0.00127642
73,6011.5,0.25618,0.88079,1,0.50876,0.00127092,0.00127092,0.00127092
