epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.58776,0.78907,0.84211,1,0.56543,6.668e-05,6.668e-05,6.668e-05
2,3.07062,0.6595,0.84211,1,0.4458,0.000147059,0.000147059,0.000147059
3,3.39724,0.51816,0.84211,1,0.40723,0.000224138,0.000224138,0.000224138
4,4.47778,0.41843,0.84211,1,0.41431,0.000297916,0.000297916,0.000297916
5,5.73424,0.40673,0.84211,1,0.43579,0.000368394,0.000368394,0.000368394
6,6.06018,0.41164,0.84211,1,0.39478,0.00043557,0.00043557,0.00043557
7,7.70384,0.36649,0.84211,1,0.30249,0.000499447,0.000499447,0.000499447
8,9.36669,0.32678,0.89474,1,0.27661,0.000560022,0.000560022,0.000560022
9,9.68562,0.31448,0.89474,1,0.23547,0.000617297,0.000617297,0.000617297
10,11.2922,0.25881,0.89474,1,0.20886,0.000671271,0.000671271,0.000671271
11,12.3063,0.25279,0.89474,1,0.18274,0.000721944,0.000721944,0.000721944
12,12.5162,0.23957,0.89474,1,0.26245,0.000769317,0.000769317,0.000769317
13,13.9067,0.27643,0.89474,1,0.33911,0.000813389,0.000813389,0.000813389
14,14.1208,0.19639,0.89474,1,0.42114,0.000854161,0.000854161,0.000854161
15,15.4396,0.18312,0.89474,1,0.39697,0.000891632,0.000891632,0.000891632
16,16.8452,0.15305,0.94737,1,0.27759,0.000925802,0.000925802,0.000925802
17,17.0727,0.11917,0.94737,1,0.11658,0.000956671,0.000956671,0.000956671
18,18.3664,0.10061,1,1,0.09949,0.00098424,0.00098424,0.00098424
19,19.379,0.06364,1,1,0.11121,0.00100851,0.00100851,0.00100851
20,19.594,0.19187,1,1,0.08813,0.00102948,0.00102948,0.00102948
21,20.8874,0.07437,1,1,0.09656,0.00100687,0.00100687,0.00100687
22,21.1048,0.09793,0.84211,1,0.18933,0.000973861,0.000973861,0.000973861
23,22.3677,0.12209,0.84211,1,0.30298,0.000940855,0.000940855,0.000940855
24,23.6996,0.05234,0.84211,1,0.32422,0.000907848,0.000907848,0.000907848
25,23.8949,0.05645,0.84211,1,0.27417,0.000874842,0.000874842,0.000874842
26,25.1567,0.12475,0.84211,1,0.29321,0.000841835,0.000841835,0.000841835
27,26.2108,0.03374,0.94737,1,0.25293,0.000808828,0.000808828,0.000808828
28,26.4782,0.07838,0.94737,1,0.18127,0.000775822,0.000775822,0.000775822
29,27.8382,0.13516,0.94737,1,0.18237,0.000742815,0.000742815,0.000742815
30,28.0184,0.08258,0.94737,1,0.15588,0.000709809,0.000709809,0.000709809
31,29.3041,0.05943,0.94737,1,0.13074,0.000676802,0.000676802,0.000676802
32,30.6619,0.02392,0.94737,1,0.11566,0.000643795,0.000643795,0.000643795
33,30.8348,0.02241,0.94737,1,0.11395,0.000610789,0.000610789,0.000610789
34,32.162,0.10978,0.94737,1,0.11005,0.000577782,0.000577782,0.000577782
35,33.2431,0.04956,0.94737,1,0.12292,0.000544776,0.000544776,0.000544776
36,33.4615,0.04695,0.94737,1,0.08514,0.000511769,0.000511769,0.000511769
37,34.7028,0.06744,0.94737,1,0.07465,0.000478762,0.000478762,0.000478762
38,34.8821,0.03188,0.94737,1,0.08215,0.000445756,0.000445756,0.000445756
39,36.1266,0.0323,0.94737,1,0.09131,0.000412749,0.000412749,0.000412749
40,37.5465,0.05658,0.94737,1,0.20544,0.000379743,0.000379743,0.000379743
41,39.8411,0.03837,0.94737,1,0.2334,0.000346736,0.000346736,0.000346736
42,40.7446,0.02925,0.94737,1,0.26611,0.000313729,0.000313729,0.000313729
43,41.0217,0.0988,0.94737,1,0.23486,0.000280723,0.000280723,0.000280723
44,42.1874,0.07222,0.94737,1,0.22827,0.000247716,0.000247716,0.000247716
45,42.925,0.00911,0.94737,1,0.23547,0.00021471,0.00021471,0.00021471
46,43.5027,0.01254,0.94737,1,0.25122,0.000181703,0.000181703,0.000181703
47,44.4206,0.05294,0.94737,1,0.22021,0.000148696,0.000148696,0.000148696
48,44.6101,0.0573,0.94737,1,0.25195,0.00011569,0.00011569,0.00011569
49,45.7866,0.02101,0.94737,1,0.22437,8.26832e-05,8.26832e-05,8.26832e-05
50,46.7374,0.0424,0.94737,1,0.22717,4.96766e-05,4.96766e-05,4.96766e-05
